Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.401136346416219 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:17:37.970789 True [     450.397260] 0003 0036 00000363
2022-04-06 14:17:37.978758 True [     450.405466] 0003 0035 000003f6
2022-04-06 14:17:37.980523 True [     450.405466] 0003 0036 00000364
2022-04-06 14:17:37.987382 True [     450.413956] 0003 0035 000003f8
2022-04-06 14:17:37.996328 True [     450.422128] 0003 0035 000003fa
2022-04-06 14:17:38.004491 True [     450.430556] 0003 0035 000003fc
2022-04-06 14:17:38.005490 True [     450.430556] 0003 0036 00000365
2022-04-06 14:17:38.014607 True [     450.438808] 0003 0035 000003fe
2022-04-06 14:17:38.014607 True [     450.438808] 0003 0036 00000366
2022-04-06 14:17:38.021711 True [     450.447274] 0003 0035 00000400
2022-04-06 14:17:38.021711 True [     450.447274] 0003 0036 00000367
2022-04-06 14:17:38.029457 True [     450.455474] 0003 0035 00000402
2022-04-06 14:17:38.029457 True [     450.455474] 0003 0036 00000368
2022-04-06 14:17:38.037877 True [     450.463927] 0003 0035 00000404
2022-04-06 14:17:38.037877 True [     450.463927] 0003 0036 00000369
2022-04-06 14:17:38.048262 True [     450.472172] 0003 0035 00000406
2022-04-06 14:17:38.054422 True [     450.480597] 0003 0035 00000408
2022-04-06 14:17:38.062653 True [     450.488864] 0003 0035 0000040a
2022-04-06 14:17:38.062653 True [     450.488864] 0003 0036 0000036a
2022-04-06 14:17:38.070871 True [     450.497265] 0003 0035 0000040c
2022-04-06 14:17:38.070871 True [     450.497265] 0003 0036 0000036b
2022-04-06 14:17:38.079523 True [     450.505546] 0003 0035 0000040e
