Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4201613578430373 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:33:52.672763 True [    1425.084299] 0003 0036 0000035d
2022-04-06 14:33:52.682736 True [    1425.092589] 0003 0036 0000035c
2022-04-06 14:33:52.690023 True [    1425.101006] 0003 0036 0000035a
2022-04-06 14:33:52.698899 True [    1425.109221] 0003 0036 00000359
2022-04-06 14:33:52.708022 True [    1425.117650] 0003 0036 00000358
2022-04-06 14:33:52.715893 True [    1425.125897] 0003 0036 00000357
2022-04-06 14:33:52.724172 True [    1425.134314] 0003 0036 00000355
2022-04-06 14:33:52.732627 True [    1425.142550] 0003 0036 00000353
2022-04-06 14:33:52.740988 True [    1425.151010] 0003 0036 00000352
2022-04-06 14:33:52.749145 True [    1425.159202] 0003 0036 00000350
2022-04-06 14:33:52.756154 True [    1425.167640] 0003 0035 00000386
2022-04-06 14:33:52.756154 True [    1425.167640] 0003 0036 0000034f
2022-04-06 14:33:52.766904 True [    1425.175912] 0003 0036 0000034d
2022-04-06 14:33:52.775163 True [    1425.184519] 0003 0036 0000034b
2022-04-06 14:33:52.781815 True [    1425.192556] 0003 0036 0000034a
2022-04-06 14:33:52.790678 True [    1425.200997] 0003 0035 00000385
2022-04-06 14:33:52.790678 True [    1425.200997] 0003 0036 00000348
2022-04-06 14:33:52.799766 True [    1425.209243] 0003 0036 00000347
2022-04-06 14:33:52.807613 True [    1425.217646] 0003 0036 00000346
2022-04-06 14:33:52.817208 True [    1425.225879] 0003 0036 00000344
2022-04-06 14:33:52.824741 True [    1425.234336] 0003 0035 00000384
2022-04-06 14:33:52.824741 True [    1425.234336] 0003 0036 00000342
2022-04-06 14:33:52.840839 True [    1425.250951] 0003 0036 00000340
2022-04-06 14:33:52.850677 True [    1425.259246] 0003 0036 0000033e
2022-04-06 14:33:52.866276 True [    1425.275876] 0003 0036 0000033d
2022-04-06 14:33:52.875135 True [    1425.284336] 0003 0036 0000033c
2022-04-06 14:33:52.882770 True [    1425.292598] 0003 0036 0000033a
2022-04-06 14:33:52.890676 False [    1425.301002] 0003 0036 00000339
