Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.352692049053831 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:10:32.700904 False [  156955.878797] 0003 0036 000003e5
2022-04-02 17:10:32.706386 False [  156955.887192] 0003 0035 000004ef
2022-04-02 17:10:32.706386 False [  156955.887192] 0003 0036 000003e0
2022-04-02 17:10:32.715330 False [  156955.895434] 0003 0035 000004f0
2022-04-02 17:10:32.715330 False [  156955.895434] 0003 0036 000003dd
2022-04-02 17:10:32.724399 False [  156955.903852] 0003 0036 000003d9
2022-04-02 17:10:32.731523 False [  156955.912067] 0003 0035 000004f1
2022-04-02 17:10:32.731523 False [  156955.912067] 0003 0036 000003d7
2022-04-02 17:10:32.743017 False [  156955.920609] 0003 0036 000003d5
2022-04-02 17:10:32.748333 False [  156955.928623] 0003 0035 000004f2
2022-04-02 17:10:32.748333 False [  156955.928623] 0003 0036 000003d4
2022-04-02 17:10:32.756348 False [  156955.937096] 0003 0035 000004f1
2022-04-02 17:10:32.756348 False [  156955.937096] 0003 0036 000003d3
