Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.314948854366252 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:52:39.570227 False [     235.932300] 0003 0035 0000011e
2022-03-10 16:52:39.571234 True [     235.932300] 0003 0035 00000268
2022-03-10 16:52:39.587377 False [     235.949302] 0003 0035 00000122
2022-03-10 16:52:39.588391 True [     235.949302] 0003 0035 00000268
2022-03-10 16:52:39.604270 False [     235.966283] 0003 0035 00000122
2022-03-10 16:52:39.604270 True [     235.966283] 0003 0035 00000264
2022-03-10 16:52:39.621817 False [     235.983284] 0003 0035 00000126
2022-03-10 16:52:39.622816 False [     235.983284] 0003 0035 00000264
2022-03-10 16:52:39.637891 False [     235.999948] 0003 0035 00000126
2022-03-10 16:52:39.637891 True [     235.999948] 0003 0035 00000260
2022-03-10 16:52:39.654856 False [     236.016829] 0003 0035 00000126
2022-03-10 16:52:40.198485 True [     236.559589] 0003 0035 00000256
2022-03-10 16:52:40.199186 False [     236.559589] 0003 0035 000000c4
2022-03-10 16:52:40.215389 False [     236.576645] 0003 0035 00000256
2022-03-10 16:52:40.215389 False [     236.576645] 0003 0035 000000c4
2022-03-10 16:52:40.233001 False [     236.593181] 0003 0035 00000256
2022-03-10 16:52:40.233535 False [     236.593181] 0003 0035 000000c4
2022-03-10 16:52:40.250005 False [     236.610308] 0003 0035 00000256
2022-03-10 16:52:40.250005 False [     236.610308] 0003 0035 000000c4
2022-03-10 16:52:40.265110 False [     236.627070] 0003 0035 00000256
2022-03-10 16:52:40.265110 False [     236.627070] 0003 0035 000000c4
2022-03-10 16:52:40.282400 False [     236.644065] 0003 0035 00000256
2022-03-10 16:52:40.282400 False [     236.644065] 0003 0035 000000c4
2022-03-10 16:52:40.298966 False [     236.661064] 0003 0035 00000256
2022-03-10 16:52:40.299970 False [     236.661064] 0003 0035 000000c8
2022-03-10 16:52:40.315920 False [     236.677967] 0003 0035 00000256
2022-03-10 16:52:40.316943 False [     236.677967] 0003 0035 000000cc
2022-03-10 16:52:40.333896 False [     236.695104] 0003 0035 00000256
2022-03-10 16:52:40.333896 False [     236.695104] 0003 0035 000000d0
2022-03-10 16:52:40.350715 False [     236.712125] 0003 0035 00000256
2022-03-10 16:52:40.350715 False [     236.712125] 0003 0035 000000d5
2022-03-10 16:52:40.367715 False [     236.729492] 0003 0035 00000256
2022-03-10 16:52:40.367715 False [     236.729492] 0003 0035 000000dd
2022-03-10 16:52:40.384466 False [     236.745822] 0003 0035 00000256
2022-03-10 16:52:40.384466 False [     236.745822] 0003 0035 000000e9
2022-03-10 16:52:40.401122 False [     236.762715] 0003 0035 00000256
2022-03-10 16:52:40.401122 False [     236.762715] 0003 0035 000000f8
2022-03-10 16:52:40.418427 False [     236.779769] 0003 0035 00000256
2022-03-10 16:52:40.418427 False [     236.779769] 0003 0035 00000107
2022-03-10 16:52:40.434882 False [     236.796611] 0003 0035 00000256
2022-03-10 16:52:40.434882 False [     236.796611] 0003 0035 00000114
2022-03-10 16:52:40.453128 False [     236.813575] 0003 0035 00000256
2022-03-10 16:52:40.453128 False [     236.813575] 0003 0035 00000120
2022-03-10 16:52:40.470616 False [     236.830509] 0003 0035 00000256
2022-03-10 16:52:40.470616 False [     236.830509] 0003 0035 00000129
2022-03-10 16:52:40.485871 False [     236.847411] 0003 0035 00000256
2022-03-10 16:52:40.485871 False [     236.847411] 0003 0035 0000012f
2022-03-10 16:52:40.502815 False [     236.864403] 0003 0035 00000256
2022-03-10 16:52:40.502815 False [     236.864403] 0003 0035 00000134
2022-03-10 16:52:40.520062 False [     236.881385] 0003 0035 00000252
2022-03-10 16:52:40.520062 False [     236.881385] 0003 0035 00000139
2022-03-10 16:52:40.536730 False [     236.898381] 0003 0035 00000252
2022-03-10 16:52:40.536730 False [     236.898381] 0003 0035 00000141
2022-03-10 16:52:40.553807 False [     236.915244] 0003 0035 00000252
2022-03-10 16:52:40.553807 False [     236.915244] 0003 0035 0000014b
2022-03-10 16:52:40.569909 False [     236.931857] 0003 0035 0000024d
2022-03-10 16:52:40.569909 False [     236.931857] 0003 0035 00000153
2022-03-10 16:52:40.586554 False [     236.948846] 0003 0035 00000159
2022-03-10 16:52:40.604076 False [     236.965805] 0003 0035 0000015e
2022-03-10 16:52:40.621029 False [     236.982572] 0003 0035 00000158
2022-03-10 16:52:41.789709 False [     238.151973] 0003 0035 0000017e
2022-03-10 16:52:41.807447 True [     238.168949] 0003 0035 0000017e
2022-03-10 16:52:41.823748 True [     238.185855] 0003 0035 0000017e
2022-03-10 16:52:41.841799 True [     238.202902] 0003 0035 0000017e
2022-03-10 16:52:41.857521 True [     238.219904] 0003 0035 00000182
2022-03-10 16:52:41.875999 True [     238.237019] 0003 0035 00000188
2022-03-10 16:52:41.891496 True [     238.253902] 0003 0035 0000018e
2022-03-10 16:52:41.909269 True [     238.270613] 0003 0035 00000195
2022-03-10 16:52:41.926049 True [     238.287719] 0003 0035 000001a1
2022-03-10 16:52:41.942739 True [     238.304695] 0003 0035 000001b1
2022-03-10 16:52:41.960094 True [     238.321658] 0003 0035 000001c3
2022-03-10 16:52:41.978301 True [     238.338618] 0003 0035 000001d3
2022-03-10 16:52:41.993413 True [     238.355548] 0003 0035 000001e0
2022-03-10 16:52:42.011561 True [     238.373207] 0003 0035 000001ea
2022-03-10 16:52:42.028272 True [     238.389398] 0003 0035 000001f3
2022-03-10 16:52:42.044912 True [     238.407001] 0003 0035 000001fd
2022-03-10 16:52:42.061623 True [     238.423187] 0003 0035 0000020a
2022-03-10 16:52:42.078224 True [     238.440354] 0003 0035 00000218
2022-03-10 16:52:42.095329 True [     238.457261] 0003 0035 00000225
2022-03-10 16:52:42.111777 False [     238.473991] 0003 0035 00000232
2022-03-10 16:52:42.128679 False [     238.490963] 0003 0035 0000023d
2022-03-10 16:52:42.145983 False [     238.508432] 0003 0035 00000247
2022-03-10 16:52:42.164531 False [     238.525496] 0003 0035 00000250
2022-03-10 16:52:42.774480 False [     239.134957] 0003 0035 000000fc
2022-03-10 16:52:42.790209 True [     239.151923] 0003 0035 000000fc
2022-03-10 16:52:42.807198 True [     239.168988] 0003 0035 000000fc
2022-03-10 16:52:42.824055 True [     239.185981] 0003 0035 000000fc
2022-03-10 16:52:42.840740 True [     239.202858] 0003 0035 000000fc
2022-03-10 16:52:42.857774 True [     239.219814] 0003 0035 00000100
2022-03-10 16:52:42.876006 True [     239.237206] 0003 0035 00000106
2022-03-10 16:52:42.877086 True [     239.237206] 0003 0035 00000138
2022-03-10 16:52:42.891677 True [     239.253884] 0003 0035 00000110
2022-03-10 16:52:42.891677 True [     239.253884] 0003 0035 0000013a
2022-03-10 16:52:42.908775 True [     239.270686] 0003 0035 0000011c
2022-03-10 16:52:42.908775 True [     239.270686] 0003 0035 0000013a
2022-03-10 16:52:42.925345 False [     239.287463] 0003 0035 00000128
2022-03-10 16:52:42.942673 True [     239.304484] 0003 0035 00000139
2022-03-10 16:52:42.959451 True [     239.321579] 0003 0035 0000014f
2022-03-10 16:52:42.976998 True [     239.338811] 0003 0035 00000165
2022-03-10 16:52:42.993591 True [     239.355416] 0003 0035 00000178
2022-03-10 16:52:43.010207 True [     239.372168] 0003 0035 0000018d
2022-03-10 16:52:43.027494 True [     239.389333] 0003 0035 000001a5
2022-03-10 16:52:43.043800 True [     239.406220] 0003 0035 000001bf
2022-03-10 16:52:43.061628 True [     239.423057] 0003 0035 000001d5
2022-03-10 16:52:43.079293 True [     239.440302] 0003 0035 000001eb
2022-03-10 16:52:43.095455 True [     239.457608] 0003 0035 00000203
2022-03-10 16:52:43.112829 True [     239.474220] 0003 0035 0000021c
2022-03-10 16:52:43.128481 True [     239.490856] 0003 0035 00000230
2022-03-10 16:52:43.146032 False [     239.508002] 0003 0035 00000240
2022-03-10 16:52:43.163505 False [     239.525155] 0003 0035 00000250
2022-03-10 16:52:43.180979 False [     239.542028] 0003 0035 00000261
2022-03-10 16:52:43.196923 False [     239.558590] 0003 0035 00000272
2022-03-10 16:52:43.213586 False [     239.575623] 0003 0035 00000281
2022-03-10 16:52:43.230419 False [     239.592534] 0003 0035 0000028d
2022-03-10 16:52:43.247940 False [     239.609531] 0003 0035 00000295
2022-03-10 16:52:43.738631 False [     240.100921] 0003 0035 000001fd
2022-03-10 16:52:43.756102 False [     240.117901] 0003 0035 000001fd
2022-03-10 16:52:43.773892 False [     240.134907] 0003 0035 000001fd
2022-03-10 16:52:43.790434 False [     240.151832] 0003 0035 000001fd
2022-03-10 16:52:43.806318 False [     240.168731] 0003 0035 000001fd
2022-03-10 16:52:43.823059 False [     240.185575] 0003 0035 00000205
2022-03-10 16:52:43.840684 False [     240.202875] 0003 0035 00000213
2022-03-10 16:52:43.857453 False [     240.219752] 0003 0035 00000223
2022-03-10 16:52:43.875384 False [     240.236666] 0003 0035 00000233
2022-03-10 16:52:43.891353 False [     240.253481] 0003 0035 00000245
2022-03-10 16:52:43.908028 False [     240.270433] 0003 0035 0000025b
2022-03-10 16:52:43.925992 False [     240.287248] 0003 0035 00000270
2022-03-10 16:52:43.942760 False [     240.304160] 0003 0035 00000282
2022-03-10 16:52:44.688072 False [     241.050148] 0003 0035 000000fc
2022-03-10 16:52:44.704623 True [     241.066862] 0003 0035 000000fc
2022-03-10 16:52:44.721909 True [     241.083951] 0003 0035 000000fc
2022-03-10 16:52:44.738647 True [     241.100820] 0003 0035 000000fc
2022-03-10 16:52:44.756790 True [     241.117957] 0003 0035 000000fc
2022-03-10 16:52:44.773511 True [     241.134983] 0003 0035 00000101
2022-03-10 16:52:44.789740 True [     241.151754] 0003 0035 00000107
