Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.23816853657635756 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:59:28.350412 False [  159891.398539] 0003 0035 00000556
2022-04-02 17:59:28.350412 False [  159891.398539] 0003 0036 000003d3
2022-04-02 17:59:28.350412 False [  159891.405805] 0003 0035 00000551
2022-04-02 17:59:28.350412 False [  159891.405805] 0003 0036 000003ba
2022-04-02 17:59:28.350412 False [  159891.418639] 0003 0035 0000054f
2022-04-02 17:59:28.350412 False [  159891.418639] 0003 0036 000003ae
2022-04-02 17:59:28.350412 False [  159891.429226] 0003 0035 0000054d
2022-04-02 17:59:28.350412 False [  159891.429226] 0003 0036 000003a3
2022-04-02 17:59:28.362469 False [  159891.442301] 0003 0035 0000054c
2022-04-02 17:59:28.362469 False [  159891.442301] 0003 0036 00000398
2022-04-02 17:59:28.362469 False [  159891.453658] 0003 0035 00000549
2022-04-02 17:59:28.362469 False [  159891.453658] 0003 0036 00000385
2022-04-02 17:59:28.362469 False [  159891.467126] 0003 0036 0000037d
2022-04-02 17:59:28.367263 False [  159891.496874] 0003 0035 0000052e
2022-04-02 17:59:28.367263 False [  159891.496874] 0003 0036 00000355
2022-04-02 17:59:28.524304 False [  159891.596717] 0003 0035 00000530
2022-04-02 17:59:28.524304 False [  159891.596717] 0003 0036 00000354
2022-04-02 17:59:28.618240 False [  159891.609379] 0003 0035 00000532
2022-04-02 17:59:28.618240 False [  159891.624469] 0003 0035 00000534
2022-04-02 17:59:28.618240 False [  159891.624469] 0003 0036 00000353
2022-04-02 17:59:28.618240 False [  159891.637398] 0003 0035 00000537
2022-04-02 17:59:28.618240 False [  159891.652905] 0003 0036 00000352
2022-04-02 17:59:28.618240 False [  159891.666092] 0003 0035 0000053a
2022-04-02 17:59:28.618240 False [  159891.666092] 0003 0036 00000351
2022-04-02 17:59:28.698491 False [  159891.678168] 0003 0035 0000053b
2022-04-02 17:59:28.698491 False [  159891.692468] 0003 0036 00000350
2022-04-02 17:59:28.698491 False [  159891.705873] 0003 0035 0000053c
2022-04-02 17:59:28.698491 False [  159891.718746] 0003 0035 0000053d
2022-04-02 17:59:28.698491 False [  159891.718746] 0003 0036 0000034f
2022-04-02 17:59:28.698491 False [  159891.731257] 0003 0035 0000053e
2022-04-02 17:59:28.698491 False [  159891.745874] 0003 0035 00000537
2022-04-02 17:59:28.698491 False [  159891.745874] 0003 0036 00000357
2022-04-02 17:59:28.699495 False [  159891.759656] 0003 0035 00000530
2022-04-02 17:59:28.699495 False [  159891.759656] 0003 0036 00000364
2022-04-02 17:59:28.811068 False [  159891.771707] 0003 0035 00000514
2022-04-02 17:59:28.811068 False [  159891.771707] 0003 0036 00000388
2022-04-02 17:59:28.811068 False [  159891.784317] 0003 0035 00000504
2022-04-02 17:59:28.811068 False [  159891.784317] 0003 0036 0000039e
2022-04-02 17:59:28.811068 False [  159891.795797] 0003 0035 000004dc
2022-04-02 17:59:28.811068 False [  159891.795797] 0003 0036 000003cc
2022-04-02 17:59:28.811068 False [  159891.806974] 0003 0035 000004cc
2022-04-02 17:59:28.811068 False [  159891.806974] 0003 0036 000003de
