Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:59.456734 True [   18556.547175] 0003 0035 000002c0
2022-03-16 15:12:59.456734 True [   18556.547175] 0003 0036 00000217
2022-03-16 15:12:59.472597 True [   18556.564681] 0003 0035 000002c0
2022-03-16 15:12:59.472597 True [   18556.564681] 0003 0036 00000217
2022-03-16 15:12:59.489962 True [   18556.581609] 0003 0035 000002c0
2022-03-16 15:12:59.489962 True [   18556.581609] 0003 0036 00000217
2022-03-16 15:12:59.507830 True [   18556.598714] 0003 0035 000002c0
2022-03-16 15:12:59.507830 True [   18556.598714] 0003 0036 00000217
2022-03-16 15:12:59.524127 True [   18556.615096] 0003 0035 000002bc
2022-03-16 15:12:59.524127 True [   18556.615096] 0003 0036 00000219
2022-03-16 15:13:00.778967 False [   18557.870133] 0003 0035 000003d4
2022-03-16 15:13:00.779913 False [   18557.870133] 0003 0036 00000275
2022-03-16 15:13:00.794501 False [   18557.886164] 0003 0035 000003d4
2022-03-16 15:13:00.794501 False [   18557.886164] 0003 0036 00000275
2022-03-16 15:13:00.812137 False [   18557.902780] 0003 0035 000003d4
2022-03-16 15:13:00.812137 False [   18557.902780] 0003 0036 00000275
2022-03-16 15:13:00.826003 False [   18557.918739] 0003 0035 000003d4
2022-03-16 15:13:00.826003 False [   18557.918739] 0003 0036 00000275
2022-03-16 15:13:00.845122 False [   18557.935958] 0003 0035 000003d4
2022-03-16 15:13:00.845122 False [   18557.935958] 0003 0036 00000275
2022-03-16 15:13:00.862552 False [   18557.952517] 0003 0035 000003d4
2022-03-16 15:13:00.862552 False [   18557.952517] 0003 0036 00000275
2022-03-16 15:13:00.878869 False [   18557.969528] 0003 0035 000003d4
2022-03-16 15:13:00.878869 False [   18557.969528] 0003 0036 00000275
2022-03-16 15:13:00.895834 False [   18557.986629] 0003 0035 000003d4
2022-03-16 15:13:00.897201 False [   18557.986629] 0003 0036 00000275
2022-03-16 15:13:00.912627 False [   18558.003299] 0003 0035 000003d4
2022-03-16 15:13:00.912627 False [   18558.003299] 0003 0036 00000275
2022-03-16 15:13:00.928261 False [   18558.020714] 0003 0035 000003d4
2022-03-16 15:13:00.929257 False [   18558.020714] 0003 0036 00000275
2022-03-16 15:13:00.946827 False [   18558.038114] 0003 0035 000003d1
2022-03-16 15:13:00.947797 False [   18558.038114] 0003 0036 00000271
2022-03-16 15:13:00.963761 False [   18558.054376] 0003 0035 000003d1
2022-03-16 15:13:00.963761 False [   18558.054376] 0003 0036 00000271
2022-03-16 15:13:00.979714 False [   18558.071511] 0003 0035 000003ce
2022-03-16 15:13:00.979714 False [   18558.071511] 0003 0036 0000026d
2022-03-16 15:13:00.997665 False [   18558.089051] 0003 0035 000003ce
2022-03-16 15:13:00.997665 False [   18558.089051] 0003 0036 0000026d
2022-03-16 15:13:01.013954 False [   18558.105275] 0003 0035 000003cc
2022-03-16 15:13:01.013954 False [   18558.105275] 0003 0036 00000269
2022-03-16 15:13:01.031918 False [   18558.122063] 0003 0035 000003cc
2022-03-16 15:13:01.031918 False [   18558.122063] 0003 0036 00000269
2022-03-16 15:13:01.048051 False [   18558.139621] 0003 0035 000003cc
2022-03-16 15:13:01.049091 False [   18558.139621] 0003 0036 00000269
2022-03-16 15:13:01.065207 False [   18558.155969] 0003 0035 000003c8
2022-03-16 15:13:01.065207 False [   18558.155969] 0003 0036 00000265
2022-03-16 15:13:01.081665 False [   18558.172830] 0003 0035 000003c8
2022-03-16 15:13:01.081665 False [   18558.172830] 0003 0036 00000265
2022-03-16 15:13:01.098763 False [   18558.190162] 0003 0035 000003c3
