Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:25:54.579442 False [   90677.396221] 0003 0035 0000015b
2022-03-10 16:25:54.593381 False [   90677.413130] 0003 0035 0000015f
2022-03-10 16:25:54.611675 False [   90677.430049] 0003 0035 00000163
2022-03-10 16:25:54.627572 False [   90677.447060] 0003 0035 00000167
2022-03-10 16:25:54.648246 False [   90677.463919] 0003 0035 00000167
2022-03-10 16:25:54.661734 False [   90677.480976] 0003 0035 0000016c
2022-03-10 16:25:54.679004 False [   90677.497834] 0003 0035 00000170
2022-03-10 16:25:54.695118 False [   90677.514686] 0003 0035 00000174
2022-03-10 16:25:54.713255 False [   90677.531723] 0003 0035 00000174
2022-03-10 16:25:54.733609 False [   90677.548763] 0003 0035 00000179
2022-03-10 16:25:54.746923 False [   90677.565555] 0003 0035 0000017d
2022-03-10 16:25:54.765026 False [   90677.582703] 0003 0035 0000017d
2022-03-10 16:25:54.782125 False [   90677.599481] 0003 0035 0000017d
2022-03-10 16:25:54.799083 False [   90677.616516] 0003 0035 00000181
2022-03-10 16:25:54.816918 False [   90677.633448] 0003 0035 00000181
2022-03-10 16:25:54.831147 False [   90677.650466] 0003 0035 00000185
2022-03-10 16:25:54.849380 True [   90677.667225] 0003 0035 00000185
2022-03-10 16:25:54.866781 True [   90677.684925] 0003 0035 00000185
2022-03-10 16:25:54.881946 True [   90677.701172] 0003 0035 00000185
2022-03-10 16:25:54.898522 True [   90677.718033] 0003 0035 00000185
2022-03-10 16:25:54.915932 True [   90677.735357] 0003 0035 00000185
2022-03-10 16:25:54.935549 True [   90677.752840] 0003 0035 00000185
2022-03-10 16:25:54.953497 True [   90677.768874] 0003 0035 00000185
2022-03-10 16:25:54.968970 True [   90677.786048] 0003 0035 00000185
2022-03-10 16:25:54.986734 True [   90677.802813] 0003 0035 00000188
2022-03-10 16:25:55.004704 True [   90677.820151] 0003 0035 00000188
2022-03-10 16:25:55.019888 True [   90677.836623] 0003 0035 00000188
2022-03-10 16:25:55.037740 True [   90677.853580] 0003 0035 00000188
2022-03-10 16:25:55.055695 True [   90677.870533] 0003 0035 0000018c
2022-03-10 16:25:55.070492 True [   90677.887593] 0003 0035 0000018c
2022-03-10 16:25:55.086260 True [   90677.904491] 0003 0035 0000018c
2022-03-10 16:25:55.106476 True [   90677.921956] 0003 0035 0000018c
2022-03-10 16:25:55.121665 True [   90677.938367] 0003 0035 0000018c
