Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9984720627895423 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 19:13:40.750455 False [   19949.997399] 0003 0036 000007fe
2022-04-07 19:13:40.750455 False [   19950.007842] 0003 0035 000000eb
2022-04-07 19:13:40.750455 False [   19950.007842] 0003 0036 0000081a
2022-04-07 19:13:40.792511 False [   19950.018026] 0003 0035 000000ea
2022-04-07 19:13:40.792511 False [   19950.018026] 0003 0036 00000834
2022-04-07 19:13:40.792511 False [   19950.027188] 0003 0036 0000084a
2022-04-07 19:13:40.792511 False [   19950.037700] 0003 0035 000000eb
2022-04-07 19:13:40.792511 False [   19950.037700] 0003 0036 00000858
2022-04-07 19:13:40.792511 False [   19950.043734] 0003 0035 000000ec
2022-04-07 19:13:40.792511 False [   19950.043734] 0003 0036 00000862
2022-04-07 19:13:40.792511 False [   19950.047248] 0003 0035 000000f2
2022-04-07 19:13:40.792511 False [   19950.047248] 0003 0036 00000876
2022-04-07 19:13:40.838098 False [   19950.055507] 0003 0035 000000f6
2022-04-07 19:13:40.838098 False [   19950.055507] 0003 0036 00000881
2022-04-07 19:13:40.838098 False [   19950.063939] 0003 0035 00000103
2022-04-07 19:13:40.839106 False [   19950.063939] 0003 0036 00000893
2022-04-07 19:13:40.839106 False [   19950.073340] 0003 0035 00000109
2022-04-07 19:13:40.839106 False [   19950.073340] 0003 0036 0000089c
2022-04-07 19:13:40.839106 False [   19950.083555] 0003 0035 0000011f
2022-04-07 19:13:40.839106 False [   19950.083555] 0003 0036 000008ac
2022-04-07 19:13:40.839106 False [   19950.089044] 0003 0035 00000133
2022-04-07 19:13:40.839106 False [   19950.089044] 0003 0036 000008b8
2022-04-07 19:13:40.887073 False [   19950.097196] 0003 0035 00000148
2022-04-07 19:13:40.887073 False [   19950.097196] 0003 0036 000008c2
2022-04-07 19:13:40.887073 False [   19950.105724] 0003 0035 0000015f
2022-04-07 19:13:40.887073 False [   19950.105724] 0003 0036 000008ca
2022-04-07 19:13:40.887073 False [   19950.115087] 0003 0035 00000176
2022-04-07 19:13:40.887073 False [   19950.115087] 0003 0036 000008d1
2022-04-07 19:13:40.887073 False [   19950.123868] 0003 0035 0000018f
2022-04-07 19:13:40.887073 False [   19950.123868] 0003 0036 000008d7
2022-04-07 19:13:40.887073 False [   19950.132775] 0003 0035 000001ab
2022-04-07 19:13:40.887073 False [   19950.132775] 0003 0036 000008de
2022-04-07 19:13:40.887073 False [   19950.141409] 0003 0035 000001c9
2022-04-07 19:13:40.887073 False [   19950.141409] 0003 0036 000008e2
2022-04-07 19:13:40.944414 False [   19950.152845] 0003 0035 000001ea
2022-04-07 19:13:40.944414 False [   19950.152845] 0003 0036 000008e6
2022-04-07 19:13:40.944414 False [   19950.162911] 0003 0035 0000020a
2022-04-07 19:13:40.944414 False [   19950.162911] 0003 0036 000008ea
2022-04-07 19:13:40.945409 False [   19950.167275] 0003 0035 0000022f
2022-04-07 19:13:40.945409 False [   19950.167275] 0003 0036 000008ed
2022-04-07 19:13:40.945409 False [   19950.171834] 0003 0035 00000250
2022-04-07 19:13:40.945409 False [   19950.171834] 0003 0036 000008f0
2022-04-07 19:13:40.945409 False [   19950.180533] 0003 0035 00000274
2022-04-07 19:13:40.945409 False [   19950.180533] 0003 0036 000008f2
2022-04-07 19:13:40.945409 False [   19950.190391] 0003 0035 00000295
2022-04-07 19:13:40.945409 False [   19950.190391] 0003 0036 000008f4
2022-04-07 19:13:41.002015 False [   19950.199859] 0003 0035 000002ba
2022-04-07 19:13:41.002015 False [   19950.199859] 0003 0036 000008f5
2022-04-07 19:13:41.002015 False [   19950.209647] 0003 0035 000002dc
2022-04-07 19:13:41.002015 False [   19950.209647] 0003 0036 000008f7
2022-04-07 19:13:41.002015 False [   19950.219204] 0003 0035 00000300
2022-04-07 19:13:41.002015 False [   19950.219204] 0003 0036 000008f8
2022-04-07 19:13:41.060572 False [   19950.228865] 0003 0035 00000322
2022-04-07 19:13:41.060572 False [   19950.228865] 0003 0036 000008f9
2022-04-07 19:13:41.060572 False [   19950.237510] 0003 0035 00000346
2022-04-07 19:13:41.060572 False [   19950.247364] 0003 0035 00000369
2022-04-07 19:13:41.060572 False [   19950.257303] 0003 0035 000003ae
