Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9508145121994385 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:48:50.764304 False [   35447.785518] 0003 0036 000006db
2022-03-16 19:48:50.771574 False [   35447.793664] 0003 0036 000006da
2022-03-16 19:48:50.779320 False [   35447.802045] 0003 0036 000006d9
2022-03-16 19:48:50.787029 False [   35447.810342] 0003 0036 000006d8
2022-03-16 19:48:50.798402 False [   35447.818695] 0003 0035 00000203
2022-03-16 19:48:50.798402 False [   35447.818695] 0003 0036 000006d7
2022-03-16 19:48:50.803884 False [   35447.826879] 0003 0036 000006d6
2022-03-16 19:48:50.813306 False [   35447.835694] 0003 0036 000006d5
2022-03-16 19:48:50.820923 False [   35447.843552] 0003 0035 00000204
2022-03-16 19:48:50.820923 False [   35447.843552] 0003 0036 000006d4
2022-03-16 19:48:50.831784 False [   35447.851986] 0003 0036 000006d3
2022-03-16 19:48:50.837387 False [   35447.860183] 0003 0035 00000205
2022-03-16 19:48:50.837387 False [   35447.860183] 0003 0036 000006d2
2022-03-16 19:48:50.845631 False [   35447.868790] 0003 0036 000006d1
2022-03-16 19:48:50.855775 False [   35447.876768] 0003 0036 000006d0
2022-03-16 19:48:50.866312 False [   35447.885452] 0003 0036 000006cf
2022-03-16 19:48:50.870941 False [   35447.893490] 0003 0035 00000206
2022-03-16 19:48:50.880769 False [   35447.901790] 0003 0036 000006cd
2022-03-16 19:48:50.888743 False [   35447.910018] 0003 0035 00000207
2022-03-16 19:48:50.888743 False [   35447.910018] 0003 0036 000006cc
2022-03-16 19:48:50.897457 False [   35447.918445] 0003 0036 000006ca
2022-03-16 19:48:50.914228 False [   35447.935274] 0003 0035 00000208
2022-03-16 19:48:50.914228 False [   35447.935274] 0003 0036 000006c8
2022-03-16 19:48:50.920976 False [   35447.943285] 0003 0036 000006c6
2022-03-16 19:48:50.930030 False [   35447.951895] 0003 0035 00000209
2022-03-16 19:48:50.930030 False [   35447.951895] 0003 0036 000006c5
2022-03-16 19:48:50.939181 False [   35447.959842] 0003 0036 000006c4
2022-03-16 19:48:50.945380 False [   35447.968334] 0003 0036 000006c3
2022-03-16 19:48:50.955065 False [   35447.976505] 0003 0036 000006c1
2022-03-16 19:48:50.962325 False [   35447.984873] 0003 0035 0000020a
2022-03-16 19:48:50.962325 False [   35447.984873] 0003 0036 000006c0
2022-03-16 19:48:50.969339 False [   35447.993089] 0003 0036 000006bf
2022-03-16 19:48:50.978999 False [   35448.001643] 0003 0035 0000020b
2022-03-16 19:48:50.978999 False [   35448.001643] 0003 0036 000006be
2022-03-16 19:48:50.986249 False [   35448.009753] 0003 0036 000006bd
2022-03-16 19:48:50.995694 False [   35448.018155] 0003 0035 0000020c
2022-03-16 19:48:50.995694 False [   35448.018155] 0003 0036 000006bb
2022-03-16 19:48:51.002416 False [   35448.026316] 0003 0036 000006ba
2022-03-16 19:48:51.021969 False [   35448.042954] 0003 0036 000006b9
2022-03-16 19:48:51.030420 False [   35448.051408] 0003 0036 000006b7
2022-03-16 19:48:51.037691 False [   35448.059572] 0003 0036 000006b6
2022-03-16 19:48:51.047135 False [   35448.067978] 0003 0036 000006b5
2022-03-16 19:48:51.056741 False [   35448.076194] 0003 0035 0000020d
2022-03-16 19:48:51.056741 False [   35448.076194] 0003 0036 000006b4
2022-03-16 19:48:51.064386 False [   35448.084591] 0003 0036 000006b3
2022-03-16 19:48:51.072030 False [   35448.092823] 0003 0035 0000020e
2022-03-16 19:48:51.072030 False [   35448.092823] 0003 0036 000006b1
2022-03-16 19:48:51.081879 False [   35448.101223] 0003 0036 000006af
2022-03-16 19:48:51.089038 False [   35448.109643] 0003 0035 0000020f
2022-03-16 19:48:51.089038 False [   35448.109643] 0003 0036 000006ae
2022-03-16 19:48:51.096721 False [   35448.117820] 0003 0036 000006ad
2022-03-16 19:48:51.102980 False [   35448.126042] 0003 0035 00000210
2022-03-16 19:48:51.102980 False [   35448.126042] 0003 0036 000006ab
2022-03-16 19:48:51.114110 False [   35448.134513] 0003 0036 000006aa
2022-03-16 19:48:51.118688 False [   35448.142720] 0003 0036 000006a9
2022-03-16 19:48:51.129772 False [   35448.151124] 0003 0036 000006a8
2022-03-16 19:48:51.136105 False [   35448.159254] 0003 0035 00000211
2022-03-16 19:48:51.136105 False [   35448.159254] 0003 0036 000006a7
2022-03-16 19:48:51.147946 False [   35448.167700] 0003 0035 00000212
2022-03-16 19:48:51.147946 False [   35448.167700] 0003 0036 000006a5
2022-03-16 19:48:51.154311 False [   35448.175941] 0003 0035 00000214
2022-03-16 19:48:51.154311 False [   35448.175941] 0003 0036 000006a4
2022-03-16 19:48:51.163148 False [   35448.184343] 0003 0036 000006a3
