Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7129622096586834 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:58:48.279192 True [    2661.812732] 0003 0035 000003b8
2022-04-06 14:58:48.279192 True [    2661.812732] 0003 0036 000003fb
2022-04-06 14:58:48.287896 True [    2661.821189] 0003 0035 000003b3
2022-04-06 14:58:48.287896 True [    2661.821189] 0003 0036 000003ff
2022-04-06 14:58:48.295882 True [    2661.829493] 0003 0035 000003af
2022-04-06 14:58:48.295882 True [    2661.829493] 0003 0036 00000404
2022-04-06 14:58:48.305003 True [    2661.838288] 0003 0035 000003ab
2022-04-06 14:58:48.305003 True [    2661.838288] 0003 0036 00000407
2022-04-06 14:58:48.314094 True [    2661.846896] 0003 0035 000003a8
2022-04-06 14:58:48.314094 True [    2661.846896] 0003 0036 0000040a
2022-04-06 14:58:48.319838 True [    2661.854122] 0003 0035 000003a4
2022-04-06 14:58:48.319838 True [    2661.854122] 0003 0036 0000040e
2022-04-06 14:58:48.329682 True [    2661.862333] 0003 0035 000003a3
2022-04-06 14:58:48.329682 True [    2661.862333] 0003 0036 00000410
2022-04-06 14:58:48.336215 True [    2661.870744] 0003 0035 000003a0
2022-04-06 14:58:48.336871 True [    2661.870744] 0003 0036 00000413
2022-04-06 14:58:48.346784 True [    2661.878955] 0003 0035 0000039e
2022-04-06 14:58:48.346784 True [    2661.878955] 0003 0036 00000415
2022-04-06 14:58:48.354503 True [    2661.887578] 0003 0035 0000039d
2022-04-06 14:58:48.354503 True [    2661.887578] 0003 0036 00000418
2022-04-06 14:58:48.362934 True [    2661.896081] 0003 0035 0000039a
2022-04-06 14:58:48.362934 True [    2661.896081] 0003 0036 00000419
2022-04-06 14:58:48.371590 True [    2661.903988] 0003 0035 00000399
2022-04-06 14:58:48.371590 True [    2661.903988] 0003 0036 0000041c
2022-04-06 14:58:48.377504 True [    2661.912577] 0003 0035 00000397
2022-04-06 14:58:48.377504 True [    2661.912577] 0003 0036 0000041e
