Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6745057391461673 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:43:36.737489 True [  158939.870017] 0003 0036 0000048d
2022-04-02 17:43:36.740430 True [  158939.881142] 0003 0035 000004da
2022-04-02 17:43:36.761330 True [  158939.903194] 0003 0035 000004d9
2022-04-02 17:43:36.774286 True [  158939.919816] 0003 0035 000004d8
2022-04-02 17:43:36.796599 True [  158939.936608] 0003 0035 000004d7
2022-04-02 17:43:36.825250 True [  158939.969657] 0003 0035 000004d6
2022-04-02 17:43:36.846569 True [  158939.986393] 0003 0035 000004d5
2022-04-02 17:43:36.868871 True [  158939.995015] 0003 0035 000004d4
2022-04-02 17:43:36.884410 True [  158940.003784] 0003 0036 0000048c
2022-04-02 17:43:36.884410 True [  158940.012969] 0003 0035 000004d3
2022-04-02 17:43:36.889527 True [  158940.028033] 0003 0035 000004d2
2022-04-02 17:43:36.912196 True [  158940.044615] 0003 0035 000004d1
2022-04-02 17:43:36.917456 True [  158940.053864] 0003 0035 000004d0
2022-04-02 17:43:36.940529 True [  158940.086009] 0003 0035 000004cf
2022-04-02 17:43:36.980956 True [  158940.102943] 0003 0035 000004ce
2022-04-02 17:43:36.995082 True [  158940.119378] 0003 0035 000004cd
2022-04-02 17:43:36.995082 True [  158940.135886] 0003 0035 000004cc
2022-04-02 17:43:37.036298 True [  158940.185828] 0003 0035 000004cb
2022-04-02 17:43:37.079423 True [  158940.219213] 0003 0035 000004ca
2022-04-02 17:43:37.105363 True [  158940.252426] 0003 0035 000004c9
2022-04-02 17:43:37.974208 True [  158941.116504] 0003 0036 0000048b
2022-04-02 17:43:38.268776 True [  158941.415576] 0003 0035 000004ca
2022-04-02 17:43:38.301251 True [  158941.448840] 0003 0035 000004cb
2022-04-02 17:43:38.331414 True [  158941.482060] 0003 0035 000004cc
2022-04-02 17:43:38.388416 True [  158941.531921] 0003 0035 000004cd
2022-04-02 17:43:38.424288 True [  158941.565143] 0003 0035 000004ce
2022-04-02 17:43:38.455611 True [  158941.598428] 0003 0035 000004cf
2022-04-02 17:43:38.486290 True [  158941.631682] 0003 0035 000004d0
2022-04-02 17:43:38.578265 True [  158941.715060] 0003 0035 000004d1
2022-04-02 17:43:38.627809 True [  158941.764879] 0003 0035 000004d2
2022-04-02 17:43:38.680750 True [  158941.799537] 0003 0035 000004d3
2022-04-02 17:43:38.680750 True [  158941.806294] 0003 0035 000004d5
2022-04-02 17:43:38.680750 True [  158941.806294] 0003 0036 0000048d
2022-04-02 17:43:38.706491 True [  158941.814536] 0003 0035 000004d7
2022-04-02 17:43:38.706491 True [  158941.814536] 0003 0036 0000048b
2022-04-02 17:43:38.706491 True [  158941.822935] 0003 0035 000004d8
2022-04-02 17:43:38.706491 True [  158941.822935] 0003 0036 0000048d
2022-04-02 17:43:38.706491 True [  158941.831583] 0003 0035 000004da
2022-04-02 17:43:38.706491 True [  158941.831583] 0003 0036 0000048f
2022-04-02 17:43:38.774154 True [  158941.839509] 0003 0035 000004db
2022-04-02 17:43:38.775109 True [  158941.851674] 0003 0035 000004de
2022-04-02 17:43:38.775109 True [  158941.851674] 0003 0036 00000490
2022-04-02 17:43:38.783161 False [  158941.861554] 0003 0035 000004df
2022-04-02 17:43:38.783161 False [  158941.871078] 0003 0035 000004e1
2022-04-02 17:43:38.783161 False [  158941.871078] 0003 0036 00000491
2022-04-02 17:43:38.783161 False [  158941.878852] 0003 0035 000004e2
2022-04-02 17:43:38.783161 False [  158941.889016] 0003 0035 000004e4
2022-04-02 17:43:38.783161 False [  158941.889016] 0003 0036 00000492
2022-04-02 17:43:38.783161 False [  158941.897339] 0003 0035 000004e5
2022-04-02 17:43:38.783161 False [  158941.915104] 0003 0035 000004e6
2022-04-02 17:43:38.783161 False [  158941.915104] 0003 0036 00000493
2022-04-02 17:43:38.783161 False [  158941.925169] 0003 0035 000004e7
2022-04-02 17:43:38.800237 False [  158941.939617] 0003 0035 000004e8
2022-04-02 17:43:38.849367 False [  158941.955831] 0003 0035 000004e9
2022-04-02 17:43:39.425294 False [  158942.562261] 0003 0035 000004e8
2022-04-02 17:43:39.452346 False [  158942.595566] 0003 0035 000004e7
2022-04-02 17:43:39.498706 False [  158942.628807] 0003 0035 000004e5
2022-04-02 17:43:39.498706 False [  158942.628807] 0003 0036 00000492
2022-04-02 17:43:39.517016 False [  158942.637230] 0003 0035 000004e2
2022-04-02 17:43:39.517016 False [  158942.637230] 0003 0036 00000491
2022-04-02 17:43:39.517016 False [  158942.645511] 0003 0035 000004e1
2022-04-02 17:43:39.517016 False [  158942.645511] 0003 0036 00000490
2022-04-02 17:43:39.517016 False [  158942.653907] 0003 0035 000004df
2022-04-02 17:43:39.522636 True [  158942.662109] 0003 0035 000004de
2022-04-02 17:43:39.522992 True [  158942.662109] 0003 0036 0000048f
2022-04-02 17:43:39.530045 True [  158942.678786] 0003 0035 000004dd
2022-04-02 17:43:39.545217 True [  158942.687137] 0003 0035 000004dc
2022-04-02 17:43:39.560422 True [  158942.695321] 0003 0035 000004db
2022-04-02 17:43:39.560422 True [  158942.695321] 0003 0036 0000048e
2022-04-02 17:43:39.564064 True [  158942.703723] 0003 0035 000004da
2022-04-02 17:43:39.629907 True [  158942.770151] 0003 0035 000004d9
2022-04-02 17:43:39.661665 True [  158942.803490] 0003 0035 000004d8
2022-04-02 17:43:40.199318 True [  158943.335181] 0003 0035 000004d7
2022-04-02 17:43:40.199318 True [  158943.335181] 0003 0036 0000048b
2022-04-02 17:43:40.204314 True [  158943.343689] 0003 0036 00000487
2022-04-02 17:43:40.257598 True [  158943.360183] 0003 0036 00000485
2022-04-02 17:43:40.263493 True [  158943.368647] 0003 0035 000004d6
2022-04-02 17:43:40.263493 True [  158943.368647] 0003 0036 00000483
2022-04-02 17:43:40.263493 True [  158943.376618] 0003 0036 00000482
2022-04-02 17:43:40.263493 True [  158943.385601] 0003 0035 000004d5
2022-04-02 17:43:40.263493 True [  158943.385601] 0003 0036 00000480
2022-04-02 17:43:40.263493 True [  158943.393514] 0003 0036 0000047f
