Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.14700834812125765 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:46:51.745206 True [    1945.289460] 0003 0035 00000379
2022-04-06 14:46:51.746205 True [    1945.289460] 0003 0036 00000328
2022-04-06 14:46:51.753600 True [    1945.297863] 0003 0036 00000323
2022-04-06 14:46:51.762032 True [    1945.306065] 0003 0035 00000377
2022-04-06 14:46:51.762032 True [    1945.306065] 0003 0036 0000031f
2022-04-06 14:46:51.770648 True [    1945.314483] 0003 0035 00000376
2022-04-06 14:46:51.770648 True [    1945.314483] 0003 0036 0000031d
2022-04-06 14:46:51.779260 True [    1945.322674] 0003 0035 00000375
2022-04-06 14:46:51.779260 True [    1945.322674] 0003 0036 0000031b
2022-04-06 14:46:51.787279 True [    1945.331091] 0003 0036 0000031a
2022-04-06 14:46:51.795171 True [    1945.339281] 0003 0035 00000374
2022-04-06 14:46:51.795171 True [    1945.339281] 0003 0036 00000317
2022-04-06 14:46:51.802827 True [    1945.347716] 0003 0035 00000373
2022-04-06 14:46:51.804238 True [    1945.347716] 0003 0036 00000315
2022-04-06 14:46:51.812024 True [    1945.355905] 0003 0036 00000314
2022-04-06 14:46:51.819853 True [    1945.364357] 0003 0035 00000372
2022-04-06 14:46:51.821125 True [    1945.364357] 0003 0036 00000312
2022-04-06 14:46:51.829205 True [    1945.372607] 0003 0036 00000311
2022-04-06 14:46:51.837346 True [    1945.381038] 0003 0035 00000371
2022-04-06 14:46:51.837346 True [    1945.381038] 0003 0036 0000030f
2022-04-06 14:46:51.845551 True [    1945.389166] 0003 0035 00000370
2022-04-06 14:46:51.845551 True [    1945.389166] 0003 0036 0000030c
2022-04-06 14:46:51.854496 True [    1945.397657] 0003 0035 0000036f
2022-04-06 14:46:51.854496 True [    1945.397657] 0003 0036 0000030a
2022-04-06 14:46:51.862324 True [    1945.405802] 0003 0036 00000309
2022-04-06 14:46:51.870025 True [    1945.414229] 0003 0035 0000036e
2022-04-06 14:46:51.870025 True [    1945.414229] 0003 0036 00000305
2022-04-06 14:46:51.878003 True [    1945.422491] 0003 0035 0000036d
2022-04-06 14:46:51.878003 True [    1945.422491] 0003 0036 00000302
2022-04-06 14:46:51.885618 True [    1945.430892] 0003 0035 0000036c
2022-04-06 14:46:51.887292 True [    1945.430892] 0003 0036 000002ff
2022-04-06 14:46:51.894774 True [    1945.439041] 0003 0035 0000036b
2022-04-06 14:46:51.895778 True [    1945.439041] 0003 0036 000002fe
2022-04-06 14:46:51.902684 True [    1945.447465] 0003 0036 000002fc
2022-04-06 14:46:51.911418 True [    1945.455675] 0003 0035 0000036a
2022-04-06 14:46:51.912446 True [    1945.455675] 0003 0036 000002fa
2022-04-06 14:46:51.928038 True [    1945.472276] 0003 0035 00000369
2022-04-06 14:46:51.928994 True [    1945.472276] 0003 0036 000002f7
2022-04-06 14:46:51.936234 True [    1945.480760] 0003 0035 00000368
2022-04-06 14:46:51.937802 True [    1945.480760] 0003 0036 000002f5
