Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0635945770633684 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:37:50.030304 True [  158593.103661] 0003 0036 000004d3
2022-04-02 17:37:50.030304 True [  158593.110138] 0003 0036 000004cf
2022-04-02 17:37:50.030304 True [  158593.119971] 0003 0036 000004ce
2022-04-02 17:37:50.030304 True [  158593.129116] 0003 0036 000004cc
2022-04-02 17:37:50.030304 True [  158593.137533] 0003 0035 00000507
2022-04-02 17:37:50.030304 True [  158593.137533] 0003 0036 000004c9
2022-04-02 17:37:50.065768 True [  158593.145117] 0003 0036 000004c7
2022-04-02 17:37:50.065768 True [  158593.154894] 0003 0036 000004c5
2022-04-02 17:37:50.065768 True [  158593.163946] 0003 0035 00000509
2022-04-02 17:37:50.065768 True [  158593.163946] 0003 0036 000004c4
2022-04-02 17:37:50.065768 True [  158593.171585] 0003 0036 000004c2
2022-04-02 17:37:50.065768 True [  158593.181679] 0003 0035 0000050a
2022-04-02 17:37:50.065768 True [  158593.181679] 0003 0036 000004c0
2022-04-02 17:37:50.065768 True [  158593.189090] 0003 0035 0000050b
2022-04-02 17:37:50.065768 True [  158593.189090] 0003 0036 000004bf
2022-04-02 17:37:50.080386 True [  158593.195585] 0003 0035 0000050c
2022-04-02 17:37:50.080386 True [  158593.195585] 0003 0036 000004bd
2022-04-02 17:37:50.080386 True [  158593.202686] 0003 0036 000004bb
2022-04-02 17:37:50.080386 True [  158593.211403] 0003 0035 0000050d
2022-04-02 17:37:50.080386 True [  158593.211403] 0003 0036 000004b9
