Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.978599830169037 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 18:34:59.730176 False [   17629.061668] 0003 0036 000008d5
2022-04-07 18:34:59.737736 False [   17629.070019] 0003 0035 00000246
2022-04-07 18:34:59.737736 False [   17629.070019] 0003 0036 000008d4
2022-04-07 18:34:59.746065 False [   17629.078296] 0003 0035 00000236
2022-04-07 18:34:59.746065 False [   17629.078296] 0003 0036 000008d2
2022-04-07 18:34:59.754446 False [   17629.086516] 0003 0035 00000226
2022-04-07 18:34:59.754446 False [   17629.086516] 0003 0036 000008d1
2022-04-07 18:34:59.762190 False [   17629.094945] 0003 0035 00000216
2022-04-07 18:34:59.762190 False [   17629.094945] 0003 0036 000008d0
2022-04-07 18:34:59.773359 False [   17629.105103] 0003 0035 0000020c
2022-04-07 18:34:59.773359 False [   17629.105103] 0003 0036 000008cf
2022-04-07 18:34:59.778429 False [   17629.111519] 0003 0035 000001fb
2022-04-07 18:34:59.778429 False [   17629.111519] 0003 0036 000008cd
2022-04-07 18:34:59.786995 False [   17629.119760] 0003 0035 000001f0
2022-04-07 18:34:59.796031 False [   17629.128294] 0003 0035 000001de
2022-04-07 18:34:59.796031 False [   17629.128294] 0003 0036 000008cc
2022-04-07 18:34:59.803445 False [   17629.136428] 0003 0035 000001d4
2022-04-07 18:34:59.803445 False [   17629.136428] 0003 0036 000008cb
2022-04-07 18:34:59.812282 False [   17629.144799] 0003 0035 000001c6
2022-04-07 18:34:59.812282 False [   17629.144799] 0003 0036 000008c9
2022-04-07 18:34:59.818918 False [   17629.153037] 0003 0035 000001bd
2022-04-07 18:34:59.827307 False [   17629.161406] 0003 0035 000001b0
2022-04-07 18:34:59.827307 False [   17629.161406] 0003 0036 000008c8
2022-04-07 18:34:59.835592 False [   17629.169614] 0003 0035 000001a6
2022-04-07 18:34:59.835592 False [   17629.169614] 0003 0036 000008c7
2022-04-07 18:34:59.845294 False [   17629.178146] 0003 0035 0000019a
2022-04-07 18:34:59.845294 False [   17629.178146] 0003 0036 000008c4
2022-04-07 18:34:59.851967 False [   17629.186231] 0003 0035 00000193
2022-04-07 18:34:59.860948 False [   17629.194677] 0003 0035 00000188
2022-04-07 18:34:59.860948 False [   17629.194677] 0003 0036 000008c2
2022-04-07 18:34:59.869081 False [   17629.202862] 0003 0035 00000181
2022-04-07 18:34:59.869081 False [   17629.202862] 0003 0036 000008c0
2022-04-07 18:34:59.878548 False [   17629.211338] 0003 0035 0000017c
