Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.840082097153223 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:38:37.686882 False [   17847.014900] 0003 0036 00000884
2022-04-07 18:38:37.694633 False [   17847.023331] 0003 0036 0000088c
2022-04-07 18:38:37.703354 False [   17847.031483] 0003 0036 00000894
2022-04-07 18:38:37.710784 False [   17847.039970] 0003 0036 0000089c
2022-04-07 18:38:37.718688 False [   17847.048148] 0003 0036 000008a4
2022-04-07 18:38:37.726887 False [   17847.056568] 0003 0035 0000054f
2022-04-07 18:38:37.728883 False [   17847.056568] 0003 0036 000008aa
2022-04-07 18:38:37.736736 False [   17847.064764] 0003 0035 0000054e
2022-04-07 18:38:37.736736 False [   17847.064764] 0003 0036 000008b1
2022-04-07 18:38:37.743968 False [   17847.073182] 0003 0035 0000054d
2022-04-07 18:38:37.743968 False [   17847.073182] 0003 0036 000008b9
2022-04-07 18:38:37.752807 False [   17847.081394] 0003 0035 0000054a
2022-04-07 18:38:37.752807 False [   17847.081394] 0003 0036 000008c0
2022-04-07 18:38:37.760818 False [   17847.089828] 0003 0035 00000548
2022-04-07 18:38:37.760818 False [   17847.089828] 0003 0036 000008c8
2022-04-07 18:38:37.768770 False [   17847.097991] 0003 0035 00000544
2022-04-07 18:38:37.768770 False [   17847.097991] 0003 0036 000008ce
2022-04-07 18:38:37.776920 False [   17847.106423] 0003 0035 00000541
2022-04-07 18:38:37.776920 False [   17847.106423] 0003 0036 000008d5
2022-04-07 18:38:37.785090 False [   17847.114633] 0003 0035 0000053e
2022-04-07 18:38:37.785090 False [   17847.114633] 0003 0036 000008da
2022-04-07 18:38:37.793031 False [   17847.123040] 0003 0035 00000539
2022-04-07 18:38:37.793031 False [   17847.123040] 0003 0036 000008df
2022-04-07 18:38:37.803578 False [   17847.131216] 0003 0035 00000535
2022-04-07 18:38:37.803578 False [   17847.131216] 0003 0036 000008e3
2022-04-07 18:38:37.811220 False [   17847.139638] 0003 0035 00000530
2022-04-07 18:38:37.811220 False [   17847.139638] 0003 0036 000008e8
2022-04-07 18:38:37.818190 False [   17847.147825] 0003 0035 0000052c
2022-04-07 18:38:37.818190 False [   17847.147825] 0003 0036 000008eb
2022-04-07 18:38:37.828529 False [   17847.156304] 0003 0035 00000526
2022-04-07 18:38:37.828529 False [   17847.156304] 0003 0036 000008ef
2022-04-07 18:38:37.836844 False [   17847.164525] 0003 0035 00000522
2022-04-07 18:38:37.836844 False [   17847.164525] 0003 0036 000008f2
2022-04-07 18:38:37.845692 False [   17847.172908] 0003 0035 0000051c
2022-04-07 18:38:37.845692 False [   17847.172908] 0003 0036 000008f4
2022-04-07 18:38:37.851194 False [   17847.181081] 0003 0035 00000518
2022-04-07 18:38:37.851194 False [   17847.181081] 0003 0036 000008f6
2022-04-07 18:38:37.859162 False [   17847.189495] 0003 0035 00000513
2022-04-07 18:38:37.859162 False [   17847.189495] 0003 0036 000008f9
2022-04-07 18:38:37.868747 False [   17847.197668] 0003 0035 0000050e
2022-04-07 18:38:37.868747 False [   17847.197668] 0003 0036 000008fa
2022-04-07 18:38:37.876877 False [   17847.206105] 0003 0035 00000506
2022-04-07 18:38:37.876877 False [   17847.206105] 0003 0036 000008fc
2022-04-07 18:38:37.886160 False [   17847.214313] 0003 0035 00000502
2022-04-07 18:38:37.886160 False [   17847.214313] 0003 0036 000008fd
2022-04-07 18:38:37.893780 False [   17847.222792] 0003 0035 000004fb
2022-04-07 18:38:37.893780 False [   17847.222792] 0003 0036 000008fe
2022-04-07 18:38:37.901945 False [   17847.230955] 0003 0035 000004f5
2022-04-07 18:38:37.910311 False [   17847.239378] 0003 0035 000004ee
2022-04-07 18:38:37.910311 False [   17847.239378] 0003 0036 000008ff
2022-04-07 18:38:37.918078 False [   17847.247577] 0003 0035 000004e9
2022-04-07 18:38:37.927205 False [   17847.255999] 0003 0035 000004e1
2022-04-07 18:38:37.927205 False [   17847.255999] 0003 0036 00000900
2022-04-07 18:38:37.934774 False [   17847.264304] 0003 0035 000004d9
2022-04-07 18:38:37.944720 False [   17847.272591] 0003 0035 000004d1
2022-04-07 18:38:37.950906 False [   17847.280897] 0003 0035 000004c9
2022-04-07 18:38:37.960596 False [   17847.289256] 0003 0035 000004c1
2022-04-07 18:38:37.968751 False [   17847.297589] 0003 0035 000004b9
2022-04-07 18:38:37.968751 False [   17847.297589] 0003 0036 000008ff
2022-04-07 18:38:37.976603 False [   17847.305862] 0003 0035 000004b0
2022-04-07 18:38:37.986065 False [   17847.314035] 0003 0035 000004a6
2022-04-07 18:38:37.986065 False [   17847.314035] 0003 0036 000008fe
