Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.797586936569851 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:17:14.491059 False [   18811.576994] 0003 0036 000002b0
2022-03-16 15:17:14.507208 False [   18811.594064] 0003 0035 0000003a
2022-03-16 15:17:14.507208 False [   18811.594064] 0003 0036 000002ab
2022-03-16 15:17:14.523112 False [   18811.610669] 0003 0035 0000002e
2022-03-16 15:17:14.523112 False [   18811.610669] 0003 0036 000002a7
2022-03-16 15:17:14.543193 False [   18811.628123] 0003 0035 00000025
2022-03-16 15:17:14.543193 False [   18811.628123] 0003 0036 000002a3
2022-03-16 15:17:14.557141 False [   18811.644440] 0003 0035 0000001f
2022-03-16 15:17:14.557141 False [   18811.644440] 0003 0036 000002a0
2022-03-16 15:17:14.573806 False [   18811.661144] 0003 0035 0000001b
2022-03-16 15:17:14.574807 False [   18811.661144] 0003 0036 0000029e
2022-03-16 15:17:14.590946 False [   18811.678050] 0003 0035 0000001b
2022-03-16 15:17:14.590946 False [   18811.678050] 0003 0036 0000029e
2022-03-16 15:17:14.607984 False [   18811.695565] 0003 0035 0000001b
2022-03-16 15:17:14.607984 False [   18811.695565] 0003 0036 0000029e
2022-03-16 15:17:14.625251 False [   18811.712341] 0003 0035 0000001b
2022-03-16 15:17:14.625251 False [   18811.712341] 0003 0036 0000029e
2022-03-16 15:17:14.641633 False [   18811.729362] 0003 0035 0000001b
2022-03-16 15:17:14.641633 False [   18811.729362] 0003 0036 0000029e
