Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8850851337739059 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:01:33.743981 False [  145607.647825] 0003 0035 000001b0
2022-04-02 14:01:33.743981 False [  145607.647825] 0003 0036 0000024c
2022-04-02 14:01:33.755719 False [  145607.657064] 0003 0036 0000024e
2022-04-02 14:01:33.762088 False [  145607.664684] 0003 0035 000001b1
2022-04-02 14:01:33.762088 False [  145607.664684] 0003 0036 0000024f
2022-04-02 14:01:33.768387 False [  145607.672823] 0003 0035 000001b2
2022-04-02 14:01:33.768387 False [  145607.672823] 0003 0036 00000252
2022-04-02 14:01:33.776881 False [  145607.681102] 0003 0035 000001b3
2022-04-02 14:01:33.776881 False [  145607.681102] 0003 0036 00000254
2022-04-02 14:01:33.785942 False [  145607.689317] 0003 0036 00000255
2022-04-02 14:01:33.795117 False [  145607.697695] 0003 0036 00000257
2022-04-02 14:01:33.803947 False [  145607.705908] 0003 0035 000001b4
2022-04-02 14:01:33.803947 False [  145607.705908] 0003 0036 00000259
2022-04-02 14:01:33.809538 False [  145607.714642] 0003 0035 000001b5
2022-04-02 14:01:33.809538 False [  145607.714642] 0003 0036 0000025a
2022-04-02 14:01:33.818590 False [  145607.722610] 0003 0035 000001b6
2022-04-02 14:01:33.818590 False [  145607.722610] 0003 0036 0000025b
2022-04-02 14:01:33.826881 False [  145607.730927] 0003 0035 000001b7
2022-04-02 14:01:33.826881 False [  145607.730927] 0003 0036 0000025e
2022-04-02 14:01:33.835138 False [  145607.739113] 0003 0035 000001b8
2022-04-02 14:01:33.835138 False [  145607.739113] 0003 0036 0000025f
2022-04-02 14:01:33.845864 False [  145607.747569] 0003 0035 000001b9
2022-04-02 14:01:33.845864 False [  145607.747569] 0003 0036 00000262
2022-04-02 14:01:33.852842 False [  145607.755785] 0003 0035 000001ba
2022-04-02 14:01:33.852842 False [  145607.755785] 0003 0036 00000264
2022-04-02 14:01:33.867961 False [  145607.764167] 0003 0035 000001bb
2022-04-02 14:01:33.867961 False [  145607.764167] 0003 0036 00000266
2022-04-02 14:01:33.872861 False [  145607.772408] 0003 0035 000001bd
2022-04-02 14:01:33.872861 False [  145607.772408] 0003 0036 00000268
2022-04-02 14:01:33.878915 False [  145607.780817] 0003 0035 000001be
2022-04-02 14:01:33.878915 False [  145607.780817] 0003 0036 0000026a
2022-04-02 14:01:33.885113 False [  145607.789032] 0003 0036 0000026b
2022-04-02 14:01:33.894113 False [  145607.797418] 0003 0035 000001bf
2022-04-02 14:01:33.894113 False [  145607.797418] 0003 0036 0000026e
2022-04-02 14:01:33.911866 False [  145607.805649] 0003 0035 000001c0
2022-04-02 14:01:33.911866 False [  145607.805649] 0003 0036 0000026f
2022-04-02 14:01:33.911866 False [  145607.814062] 0003 0035 000001c1
2022-04-02 14:01:33.911866 False [  145607.814062] 0003 0036 00000271
2022-04-02 14:01:33.919211 False [  145607.822359] 0003 0036 00000273
2022-04-02 14:01:33.928127 False [  145607.830807] 0003 0035 000001c3
2022-04-02 14:01:33.928127 False [  145607.830807] 0003 0036 00000275
2022-04-02 14:01:33.935372 False [  145607.838847] 0003 0035 000001c4
2022-04-02 14:01:33.935372 False [  145607.838847] 0003 0036 00000277
