Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.035265419261927694 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:40:23.114797 True [  158746.212865] 0003 0036 000004b5
2022-04-02 17:40:23.114797 True [  158746.222417] 0003 0036 000004b4
2022-04-02 17:40:23.135883 True [  158746.230883] 0003 0036 000004b3
2022-04-02 17:40:23.135883 True [  158746.239398] 0003 0036 000004b2
2022-04-02 17:40:23.135883 True [  158746.250654] 0003 0036 000004b1
2022-04-02 17:40:23.135883 True [  158746.260779] 0003 0036 000004b0
2022-04-02 17:40:23.135883 True [  158746.271264] 0003 0036 000004af
2022-04-02 17:40:23.154320 True [  158746.279092] 0003 0036 000004ae
2022-04-02 17:40:23.167653 True [  158746.297238] 0003 0036 000004ad
2022-04-02 17:40:23.167653 True [  158746.307180] 0003 0036 000004ac
2022-04-02 17:40:23.172614 True [  158746.314357] 0003 0036 000004ab
2022-04-02 17:40:23.223116 True [  158746.330531] 0003 0035 0000051c
2022-04-02 17:40:23.223116 True [  158746.330531] 0003 0036 000004a8
2022-04-02 17:40:23.246718 True [  158746.338696] 0003 0035 0000051b
2022-04-02 17:40:23.246718 True [  158746.338696] 0003 0036 000004a5
2022-04-02 17:40:23.246718 True [  158746.347320] 0003 0036 000004a3
2022-04-02 17:40:23.246718 True [  158746.358092] 0003 0035 0000051a
2022-04-02 17:40:23.246718 True [  158746.358092] 0003 0036 000004a1
2022-04-02 17:40:23.246718 True [  158746.363838] 0003 0036 0000049e
2022-04-02 17:40:23.246718 True [  158746.373098] 0003 0035 00000519
2022-04-02 17:40:23.246718 True [  158746.373098] 0003 0036 0000049d
2022-04-02 17:40:23.246718 True [  158746.380354] 0003 0036 0000049b
2022-04-02 17:40:23.285623 True [  158746.388524] 0003 0036 00000499
2022-04-02 17:40:23.299494 True [  158746.405279] 0003 0036 00000497
2022-04-02 17:40:23.299494 True [  158746.413635] 0003 0036 00000495
2022-04-02 17:40:23.299494 True [  158746.425757] 0003 0036 00000494
2022-04-02 17:40:23.299494 True [  158746.433191] 0003 0036 00000493
2022-04-02 17:40:23.303040 True [  158746.446997] 0003 0036 00000492
2022-04-02 17:40:23.329185 True [  158746.463372] 0003 0035 0000051b
2022-04-02 17:40:23.329185 True [  158746.463372] 0003 0036 0000048f
2022-04-02 17:40:23.370668 True [  158746.471815] 0003 0035 0000051c
2022-04-02 17:40:23.370668 True [  158746.471815] 0003 0036 0000048d
2022-04-02 17:40:23.370668 True [  158746.480895] 0003 0035 0000051d
2022-04-02 17:40:23.370668 True [  158746.480895] 0003 0036 0000048b
2022-04-02 17:40:23.415478 True [  158746.488352] 0003 0035 0000051e
2022-04-02 17:40:23.415478 True [  158746.488352] 0003 0036 00000489
2022-04-02 17:40:23.415478 True [  158746.497857] 0003 0036 00000487
2022-04-02 17:40:23.415478 True [  158746.509852] 0003 0035 0000051f
2022-04-02 17:40:23.416478 True [  158746.509852] 0003 0036 00000486
2022-04-02 17:40:23.416478 True [  158746.518315] 0003 0036 00000484
2022-04-02 17:40:23.416478 True [  158746.528868] 0003 0035 00000520
2022-04-02 17:40:23.416478 True [  158746.528868] 0003 0036 00000482
2022-04-02 17:40:23.451891 True [  158746.538020] 0003 0036 00000481
2022-04-02 17:40:23.451891 True [  158746.547720] 0003 0036 00000480
2022-04-02 17:40:23.451891 True [  158746.556670] 0003 0035 00000521
