Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.55604959485662 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:39:28.446390 False [   34885.476683] 0003 0035 000000a5
2022-03-16 19:39:28.458559 False [   34885.485101] 0003 0035 000005d3
2022-03-16 19:39:28.458559 False [   34885.485101] 0003 0035 000000a4
2022-03-16 19:39:28.462354 False [   34885.493236] 0003 0035 000005d4
2022-03-16 19:39:28.462354 False [   34885.493236] 0003 0035 000000a3
2022-03-16 19:39:28.473991 False [   34885.501609] 0003 0035 000000a2
2022-03-16 19:39:28.478232 False [   34885.509830] 0003 0035 000005d5
2022-03-16 19:39:28.478232 False [   34885.509830] 0003 0035 000000a1
2022-03-16 19:39:28.486963 False [   34885.518299] 0003 0035 000005d6
2022-03-16 19:39:28.486963 False [   34885.518299] 0003 0035 000000a0
2022-03-16 19:39:28.495838 False [   34885.526586] 0003 0035 000005d7
2022-03-16 19:39:28.503588 False [   34885.534907] 0003 0035 0000009f
2022-03-16 19:39:28.512413 False [   34885.543156] 0003 0035 000005d8
2022-03-16 19:39:28.521246 False [   34885.551555] 0003 0035 0000009e
2022-03-16 19:39:28.528303 False [   34885.559726] 0003 0035 000005d9
2022-03-16 19:39:28.528303 False [   34885.559726] 0003 0035 0000009d
2022-03-16 19:39:28.537713 False [   34885.568135] 0003 0035 000005de
2022-03-16 19:39:28.547671 False [   34885.576399] 0003 0035 000005e1
2022-03-16 19:39:28.547671 False [   34885.576399] 0003 0035 0000009c
2022-03-16 19:39:28.554774 False [   34885.584830] 0003 0035 000005e4
2022-03-16 19:39:28.554774 False [   34885.584830] 0003 0035 0000009b
2022-03-16 19:39:28.564381 False [   34885.593252] 0003 0035 000005e7
2022-03-16 19:39:28.564381 False [   34885.593252] 0003 0035 0000009a
2022-03-16 19:39:28.571368 False [   34885.601362] 0003 0035 000005e9
2022-03-16 19:39:28.571368 False [   34885.601362] 0003 0035 00000099
2022-03-16 19:39:28.582068 False [   34885.609570] 0003 0035 000005eb
2022-03-16 19:39:28.587942 False [   34885.618014] 0003 0035 000005ec
2022-03-16 19:39:28.587942 False [   34885.618014] 0003 0035 00000098
2022-03-16 19:39:28.597899 False [   34885.626200] 0003 0035 000005ed
2022-03-16 19:39:28.597899 False [   34885.626200] 0003 0035 00000097
2022-03-16 19:39:28.604403 False [   34885.634567] 0003 0035 00000095
2022-03-16 19:39:28.604403 False [   34885.634567] 0003 0036 000007c4
2022-03-16 19:39:28.615037 False [   34885.642816] 0003 0035 000005ee
2022-03-16 19:39:28.615037 False [   34885.642816] 0003 0036 00000765
2022-03-16 19:39:28.622490 False [   34885.651286] 0003 0035 000005ef
