Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.422351992080007 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:01:04.077872 False [    2797.608534] 0003 0036 0000036e
2022-04-06 15:01:04.084906 False [    2797.616858] 0003 0035 000003dd
2022-04-06 15:01:04.095096 False [    2797.625109] 0003 0036 0000036d
2022-04-06 15:01:04.102948 False [    2797.633499] 0003 0035 000003de
2022-04-06 15:01:04.102948 False [    2797.633499] 0003 0036 0000036c
2022-04-06 15:01:04.112001 False [    2797.641659] 0003 0036 0000036b
2022-04-06 15:01:04.129722 False [    2797.658381] 0003 0035 000003df
2022-04-06 15:01:04.129722 False [    2797.658381] 0003 0036 0000036a
2022-04-06 15:01:04.137896 False [    2797.666739] 0003 0036 00000369
2022-04-06 15:01:04.161675 False [    2797.691508] 0003 0036 00000368
2022-04-06 15:01:04.179671 False [    2797.708173] 0003 0036 00000367
2022-04-06 15:01:04.188128 False [    2797.717607] 0003 0036 00000366
2022-04-06 15:01:04.196042 False [    2797.725324] 0003 0035 000003de
2022-04-06 15:01:04.212293 False [    2797.741428] 0003 0035 000003dd
2022-04-06 15:01:04.212293 False [    2797.741428] 0003 0036 00000365
2022-04-06 15:01:04.219134 False [    2797.749830] 0003 0035 000003dc
2022-04-06 15:01:04.219134 False [    2797.749830] 0003 0036 00000364
2022-04-06 15:01:04.236043 False [    2797.766467] 0003 0035 000003d9
2022-04-06 15:01:04.244647 False [    2797.774675] 0003 0035 000003d7
2022-04-06 15:01:04.253838 False [    2797.783138] 0003 0035 000003d5
2022-04-06 15:01:04.260874 False [    2797.791306] 0003 0035 000003d2
2022-04-06 15:01:04.269639 False [    2797.799689] 0003 0035 000003cf
2022-04-06 15:01:04.278940 False [    2797.807929] 0003 0035 000003cc
2022-04-06 15:01:04.293774 False [    2797.824577] 0003 0035 000003c7
2022-04-06 15:01:04.293774 False [    2797.824577] 0003 0036 00000365
2022-04-06 15:01:04.303678 False [    2797.832965] 0003 0035 000003c3
2022-04-06 15:01:04.303678 False [    2797.832965] 0003 0036 00000367
2022-04-06 15:01:04.310677 False [    2797.841144] 0003 0035 000003be
2022-04-06 15:01:04.310677 False [    2797.841144] 0003 0036 00000369
2022-04-06 15:01:04.318486 False [    2797.849564] 0003 0035 000003b9
2022-04-06 15:01:04.318486 False [    2797.849564] 0003 0036 0000036a
2022-04-06 15:01:04.326893 False [    2797.857775] 0003 0035 000003b5
2022-04-06 15:01:04.326893 False [    2797.857775] 0003 0036 0000036c
2022-04-06 15:01:04.336974 False [    2797.866185] 0003 0035 000003b1
2022-04-06 15:01:04.336974 False [    2797.866185] 0003 0036 0000036e
2022-04-06 15:01:04.344752 False [    2797.874409] 0003 0035 000003ad
2022-04-06 15:01:04.344752 False [    2797.874409] 0003 0036 0000036f
2022-04-06 15:01:04.351478 False [    2797.882772] 0003 0035 000003a9
2022-04-06 15:01:04.351478 False [    2797.882772] 0003 0036 00000371
2022-04-06 15:01:04.360649 False [    2797.891082] 0003 0035 000003a5
2022-04-06 15:01:04.360649 False [    2797.891082] 0003 0036 00000372
2022-04-06 15:01:04.368206 False [    2797.899429] 0003 0035 000003a1
2022-04-06 15:01:04.368206 False [    2797.899429] 0003 0036 00000374
2022-04-06 15:01:04.378296 False [    2797.907659] 0003 0035 0000039d
2022-04-06 15:01:04.378296 False [    2797.907659] 0003 0036 00000375
2022-04-06 15:01:04.386008 False [    2797.916058] 0003 0035 00000399
2022-04-06 15:01:04.386008 False [    2797.916058] 0003 0036 00000377
2022-04-06 15:01:04.393546 False [    2797.924286] 0003 0035 00000395
2022-04-06 15:01:04.393546 False [    2797.924286] 0003 0036 00000379
2022-04-06 15:01:04.399918 False [    2797.932693] 0003 0035 00000392
2022-04-06 15:01:04.399918 False [    2797.932693] 0003 0036 0000037b
2022-04-06 15:01:04.410655 False [    2797.940990] 0003 0035 0000038d
2022-04-06 15:01:04.410655 False [    2797.940990] 0003 0036 0000037e
2022-04-06 15:01:04.426706 False [    2797.957528] 0003 0035 00000387
2022-04-06 15:01:04.426706 False [    2797.957528] 0003 0036 00000380
2022-04-06 15:01:04.433251 False [    2797.965941] 0003 0035 00000381
2022-04-06 15:01:04.433251 True [    2797.965941] 0003 0036 00000383
2022-04-06 15:01:04.443948 True [    2797.974137] 0003 0035 0000037c
