Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.0293531747692906 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 18:39:44.620700 False [   17913.950546] 0003 0036 00000980
2022-04-07 18:39:44.628926 False [   17913.957261] 0003 0035 0000052e
2022-04-07 18:39:44.628926 False [   17913.957261] 0003 0036 00000981
2022-04-07 18:39:44.641672 False [   17913.967159] 0003 0035 00000525
2022-04-07 18:39:44.641672 False [   17913.967159] 0003 0036 00000982
2022-04-07 18:39:44.647049 False [   17913.973868] 0003 0035 0000051b
2022-04-07 18:39:44.647049 False [   17913.973868] 0003 0036 00000983
2022-04-07 18:39:44.654553 False [   17913.982496] 0003 0035 00000510
2022-04-07 18:39:44.663537 False [   17913.990659] 0003 0035 00000504
2022-04-07 18:39:44.663537 False [   17913.990659] 0003 0036 00000984
2022-04-07 18:39:44.670445 False [   17913.999386] 0003 0035 000004f7
2022-04-07 18:39:44.670445 False [   17913.999386] 0003 0036 00000985
2022-04-07 18:39:44.679999 False [   17914.007089] 0003 0035 000004ea
2022-04-07 18:39:44.687873 False [   17914.016002] 0003 0035 000004db
2022-04-07 18:39:44.696678 False [   17914.023745] 0003 0035 000004cc
2022-04-07 18:39:44.706554 False [   17914.033059] 0003 0035 000004be
2022-04-07 18:39:44.712822 False [   17914.040365] 0003 0035 000004ad
2022-04-07 18:39:44.720691 False [   17914.049353] 0003 0035 0000049c
2022-04-07 18:39:44.720691 False [   17914.049353] 0003 0036 00000984
2022-04-07 18:39:44.728545 False [   17914.057345] 0003 0035 0000048b
2022-04-07 18:39:44.728545 False [   17914.057345] 0003 0036 00000983
2022-04-07 18:39:44.738050 False [   17914.066610] 0003 0035 0000047a
2022-04-07 18:39:44.738050 False [   17914.066610] 0003 0036 00000982
2022-04-07 18:39:44.746977 False [   17914.073568] 0003 0035 00000468
