Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.3674502677469232 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:24:32.258340 False [  146995.505932] 0003 0035 00000152
2022-04-02 14:24:32.258340 False [  146995.505932] 0003 0036 000003a5
2022-04-02 14:24:32.258340 False [  146995.514312] 0003 0035 00000153
2022-04-02 14:24:32.258340 False [  146995.514312] 0003 0036 000003a6
2022-04-02 14:24:32.258340 False [  146995.522653] 0003 0036 000003a8
2022-04-02 14:24:32.258340 False [  146995.535303] 0003 0035 00000155
2022-04-02 14:24:32.258340 False [  146995.535303] 0003 0036 000003a9
2022-04-02 14:24:32.313757 False [  146995.543094] 0003 0035 00000157
2022-04-02 14:24:32.313757 False [  146995.543094] 0003 0036 000003aa
2022-04-02 14:24:32.313757 False [  146995.547504] 0003 0035 0000015a
2022-04-02 14:24:32.313757 False [  146995.547504] 0003 0036 000003ad
2022-04-02 14:24:32.313757 False [  146995.557968] 0003 0035 0000015c
2022-04-02 14:24:32.313757 False [  146995.557968] 0003 0036 000003af
2022-04-02 14:24:32.370870 False [  146995.570001] 0003 0035 0000015e
2022-04-02 14:24:32.370870 False [  146995.570001] 0003 0036 000003b0
2022-04-02 14:24:32.370870 False [  146995.577152] 0003 0035 00000160
