Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9799148470948775 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:01:56.638851 True [  156439.825548] 0003 0036 000003be
2022-04-02 17:01:56.647593 True [  156439.833763] 0003 0035 000004d3
2022-04-02 17:01:56.647879 True [  156439.833763] 0003 0036 000003c6
2022-04-02 17:01:56.653881 True [  156439.842132] 0003 0035 000004d1
2022-04-02 17:01:56.653881 True [  156439.842132] 0003 0036 000003cc
2022-04-02 17:01:56.662046 True [  156439.850358] 0003 0035 000004d0
2022-04-02 17:01:56.662046 True [  156439.850358] 0003 0036 000003d0
2022-04-02 17:01:56.671894 True [  156439.858830] 0003 0036 000003d2
2022-04-02 17:01:56.679858 True [  156439.867224] 0003 0035 000004cf
2022-04-02 17:01:56.679858 True [  156439.867224] 0003 0036 000003d5
2022-04-02 17:01:56.688611 True [  156439.875531] 0003 0035 000004ce
2022-04-02 17:01:56.696716 True [  156439.883596] 0003 0036 000003d7
2022-04-02 17:01:56.703428 True [  156439.892045] 0003 0036 000003d8
2022-04-02 17:01:56.731387 True [  156439.916880] 0003 0035 000004cd
2022-04-02 17:01:56.731387 True [  156439.916880] 0003 0036 000003d9
2022-04-02 17:01:56.754565 True [  156439.941886] 0003 0035 000004cc
2022-04-02 17:01:56.754565 True [  156439.941886] 0003 0036 000003d6
2022-04-02 17:01:56.763122 True [  156439.950169] 0003 0036 000003d5
2022-04-02 17:01:56.779395 True [  156439.966718] 0003 0035 000004cb
2022-04-02 17:01:56.779395 True [  156439.966718] 0003 0036 000003d3
2022-04-02 17:01:56.786830 True [  156439.975109] 0003 0036 000003d1
2022-04-02 17:01:56.795419 True [  156439.983334] 0003 0035 000004cc
2022-04-02 17:01:56.795419 True [  156439.983334] 0003 0036 000003cb
2022-04-02 17:01:56.803757 True [  156439.991845] 0003 0035 000004cd
2022-04-02 17:01:56.803757 True [  156439.991845] 0003 0036 000003c6
2022-04-02 17:01:56.812219 True [  156439.999928] 0003 0035 000004cf
2022-04-02 17:01:56.812219 True [  156439.999928] 0003 0036 000003c2
2022-04-02 17:01:56.822018 True [  156440.008604] 0003 0035 000004d0
2022-04-02 17:01:56.822018 True [  156440.008604] 0003 0036 000003bf
2022-04-02 17:01:56.829243 True [  156440.016589] 0003 0036 000003bd
2022-04-02 17:01:56.837266 True [  156440.024995] 0003 0036 000003bc
2022-04-02 17:01:56.847046 True [  156440.033211] 0003 0035 000004d1
2022-04-02 17:01:56.847046 True [  156440.033211] 0003 0036 000003ba
2022-04-02 17:01:56.863884 True [  156440.049949] 0003 0035 000004d2
2022-04-02 17:01:56.863884 True [  156440.049949] 0003 0036 000003b7
2022-04-02 17:01:56.873975 True [  156440.058310] 0003 0035 000004d3
2022-04-02 17:01:56.873975 False [  156440.058310] 0003 0036 000003b5
2022-04-02 17:01:56.881318 False [  156440.066418] 0003 0036 000003b4
2022-04-02 17:01:56.886315 False [  156440.074839] 0003 0036 000003b3
2022-04-02 17:01:56.903500 False [  156440.091661] 0003 0036 000003b4
2022-04-02 17:01:56.920015 False [  156440.108059] 0003 0036 000003b5
2022-04-02 17:01:56.928785 True [  156440.116401] 0003 0036 000003b7
2022-04-02 17:01:56.937745 True [  156440.124762] 0003 0036 000003b8
2022-04-02 17:01:56.948147 True [  156440.132903] 0003 0035 000004d0
2022-04-02 17:01:56.948147 True [  156440.132903] 0003 0036 000003bd
2022-04-02 17:01:56.954333 True [  156440.141354] 0003 0035 000004cf
2022-04-02 17:01:56.954333 True [  156440.141354] 0003 0036 000003c0
2022-04-02 17:01:56.963115 True [  156440.149660] 0003 0035 000004cc
