Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.096564172022006 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:32:02.940282 False [  158246.098923] 0003 0036 000003a2
2022-04-02 17:32:02.947923 False [  158246.107289] 0003 0035 00000515
2022-04-02 17:32:02.947923 False [  158246.107289] 0003 0036 000003a4
2022-04-02 17:32:02.957662 False [  158246.115399] 0003 0035 00000517
2022-04-02 17:32:02.957662 False [  158246.115399] 0003 0036 000003a5
2022-04-02 17:32:02.964256 False [  158246.124088] 0003 0035 0000051b
2022-04-02 17:32:02.964256 False [  158246.124088] 0003 0036 000003a8
2022-04-02 17:32:02.973741 False [  158246.132035] 0003 0035 0000051d
2022-04-02 17:32:02.973741 False [  158246.132035] 0003 0036 000003aa
2022-04-02 17:32:02.981156 False [  158246.140598] 0003 0035 00000520
2022-04-02 17:32:02.981156 False [  158246.140598] 0003 0036 000003ad
2022-04-02 17:32:02.989496 False [  158246.148843] 0003 0035 00000522
2022-04-02 17:32:02.989496 False [  158246.148843] 0003 0036 000003b1
2022-04-02 17:32:02.997501 False [  158246.157053] 0003 0035 00000525
2022-04-02 17:32:02.997501 False [  158246.157053] 0003 0036 000003b5
2022-04-02 17:32:03.006906 False [  158246.165291] 0003 0035 00000527
2022-04-02 17:32:03.006906 False [  158246.165291] 0003 0036 000003b7
2022-04-02 17:32:03.011765 False [  158246.173706] 0003 0035 0000052a
2022-04-02 17:32:03.011765 False [  158246.173706] 0003 0036 000003bb
2022-04-02 17:32:03.020254 False [  158246.181874] 0003 0035 0000052d
2022-04-02 17:32:03.020254 False [  158246.181874] 0003 0036 000003bf
2022-04-02 17:32:03.030256 False [  158246.190315] 0003 0035 0000052f
2022-04-02 17:32:03.030256 False [  158246.190315] 0003 0036 000003c3
2022-04-02 17:32:03.037270 False [  158246.198498] 0003 0035 00000530
2022-04-02 17:32:03.037270 False [  158246.198498] 0003 0036 000003c7
2022-04-02 17:32:03.048459 False [  158246.206938] 0003 0035 00000532
2022-04-02 17:32:03.048459 False [  158246.206938] 0003 0036 000003ca
2022-04-02 17:32:03.057052 False [  158246.215194] 0003 0035 00000534
