Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.659885543289989 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:39:13.421126 False [  144267.345463] 0003 0036 00000338
2022-04-02 13:39:13.429331 False [  144267.353939] 0003 0035 000001d4
2022-04-02 13:39:13.429331 False [  144267.353939] 0003 0036 00000339
2022-04-02 13:39:13.437342 False [  144267.362141] 0003 0035 000001d6
2022-04-02 13:39:13.437342 False [  144267.362141] 0003 0036 0000033b
2022-04-02 13:39:13.444571 False [  144267.370493] 0003 0035 000001d7
2022-04-02 13:39:13.444571 False [  144267.370493] 0003 0036 0000033d
2022-04-02 13:39:13.454620 False [  144267.378755] 0003 0035 000001d8
2022-04-02 13:39:13.454620 False [  144267.378755] 0003 0036 0000033e
2022-04-02 13:39:13.461797 False [  144267.387167] 0003 0035 000001da
2022-04-02 13:39:13.461797 False [  144267.387167] 0003 0036 0000033f
2022-04-02 13:39:13.470467 False [  144267.395419] 0003 0035 000001db
2022-04-02 13:39:13.470467 False [  144267.395419] 0003 0036 00000341
2022-04-02 13:39:13.478612 False [  144267.403778] 0003 0035 000001dc
2022-04-02 13:39:13.478612 False [  144267.403778] 0003 0036 00000342
2022-04-02 13:39:13.504209 False [  144267.428649] 0003 0035 000001df
2022-04-02 13:39:13.504209 False [  144267.428649] 0003 0036 00000346
2022-04-02 13:39:13.512033 False [  144267.437018] 0003 0035 000001e2
2022-04-02 13:39:13.512033 False [  144267.437018] 0003 0036 00000349
2022-04-02 13:39:13.520295 False [  144267.445197] 0003 0035 000001e3
2022-04-02 13:39:13.520295 False [  144267.445197] 0003 0036 0000034b
2022-04-02 13:39:13.528361 False [  144267.453618] 0003 0035 000001e5
2022-04-02 13:39:13.528361 False [  144267.453618] 0003 0036 0000034e
2022-04-02 13:39:13.537214 False [  144267.462185] 0003 0035 000001e7
2022-04-02 13:39:13.537214 False [  144267.462185] 0003 0036 00000350
2022-04-02 13:39:13.546059 False [  144267.471008] 0003 0035 000001e8
2022-04-02 13:39:13.546059 False [  144267.471008] 0003 0036 00000352
2022-04-02 13:39:13.553198 False [  144267.478550] 0003 0035 000001e9
2022-04-02 13:39:13.553198 False [  144267.478550] 0003 0036 00000353
2022-04-02 13:39:13.561550 False [  144267.487122] 0003 0035 000001ea
2022-04-02 13:39:13.561550 False [  144267.487122] 0003 0036 00000355
2022-04-02 13:39:13.578453 False [  144267.503988] 0003 0035 000001ec
2022-04-02 13:39:13.578453 False [  144267.503988] 0003 0036 00000358
2022-04-02 13:39:13.586755 False [  144267.511687] 0003 0035 000001ed
2022-04-02 13:39:13.586755 False [  144267.511687] 0003 0036 0000035a
2022-04-02 13:39:13.595026 False [  144267.520347] 0003 0035 000001ee
2022-04-02 13:39:13.595026 False [  144267.520347] 0003 0036 0000035d
2022-04-02 13:39:13.603310 True [  144267.528519] 0003 0035 000001f0
2022-04-02 13:39:13.603310 True [  144267.528519] 0003 0036 0000035f
2022-04-02 13:39:13.611657 True [  144267.537366] 0003 0035 000001f1
2022-04-02 13:39:13.613589 True [  144267.537366] 0003 0036 00000361
2022-04-02 13:39:13.620551 True [  144267.545362] 0003 0035 000001f2
2022-04-02 13:39:13.621404 True [  144267.545362] 0003 0036 00000363
2022-04-02 13:39:13.639421 True [  144267.561632] 0003 0035 000001f3
2022-04-02 13:39:13.639421 True [  144267.561632] 0003 0036 00000365
2022-04-02 13:39:13.644543 True [  144267.570001] 0003 0035 000001f5
2022-04-02 13:39:13.646020 True [  144267.570001] 0003 0036 00000368
2022-04-02 13:39:13.654017 True [  144267.578342] 0003 0035 000001f7
2022-04-02 13:39:13.654610 True [  144267.578342] 0003 0036 0000036a
2022-04-02 13:39:13.661797 True [  144267.586657] 0003 0035 000001f8
2022-04-02 13:39:13.661797 True [  144267.586657] 0003 0036 0000036c
2022-04-02 13:39:13.669787 True [  144267.595067] 0003 0035 000001fa
2022-04-02 13:39:13.669787 True [  144267.595067] 0003 0036 0000036e
2022-04-02 13:39:13.678589 True [  144267.603769] 0003 0035 000001fb
2022-04-02 13:39:13.679589 True [  144267.603769] 0003 0036 00000370
2022-04-02 13:39:13.687307 True [  144267.611645] 0003 0035 000001fc
2022-04-02 13:39:13.687307 True [  144267.611645] 0003 0036 00000372
2022-04-02 13:39:13.695297 True [  144267.620121] 0003 0035 000001fd
2022-04-02 13:39:13.695297 True [  144267.620121] 0003 0036 00000374
2022-04-02 13:39:13.702658 True [  144267.628113] 0003 0035 000001fe
2022-04-02 13:39:13.702658 True [  144267.628113] 0003 0036 00000375
2022-04-02 13:39:13.721061 True [  144267.644727] 0003 0035 000001ff
2022-04-02 13:39:13.721061 True [  144267.644727] 0003 0036 00000377
2022-04-02 13:39:13.728669 True [  144267.653371] 0003 0035 00000201
2022-04-02 13:39:13.728669 True [  144267.653371] 0003 0036 00000379
2022-04-02 13:39:13.736142 True [  144267.661341] 0003 0035 00000202
2022-04-02 13:39:13.736142 True [  144267.661341] 0003 0036 0000037a
2022-04-02 13:39:13.744550 True [  144267.669723] 0003 0035 00000203
2022-04-02 13:39:13.744550 True [  144267.669723] 0003 0036 0000037c
2022-04-02 13:39:13.753308 True [  144267.677899] 0003 0035 00000204
