Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0747089519444473 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:28:08.357006 False [  158011.517851] 0003 0036 00000402
2022-04-02 17:28:08.363458 False [  158011.526345] 0003 0035 00000531
2022-04-02 17:28:08.363458 False [  158011.526345] 0003 0036 000003f8
2022-04-02 17:28:08.370363 False [  158011.534442] 0003 0035 0000053e
2022-04-02 17:28:08.370363 False [  158011.534442] 0003 0036 000003ef
2022-04-02 17:28:08.377713 False [  158011.543181] 0003 0035 0000054b
2022-04-02 17:28:08.377713 False [  158011.543181] 0003 0036 000003e6
2022-04-02 17:28:08.386479 False [  158011.551297] 0003 0035 00000556
2022-04-02 17:28:08.386479 False [  158011.551297] 0003 0036 000003dd
2022-04-02 17:28:08.396693 False [  158011.559435] 0003 0035 0000055f
2022-04-02 17:28:08.396693 False [  158011.559435] 0003 0036 000003d5
2022-04-02 17:28:08.404473 False [  158011.567672] 0003 0035 00000564
2022-04-02 17:28:08.404473 False [  158011.567672] 0003 0036 000003cf
2022-04-02 17:28:08.414779 False [  158011.576089] 0003 0035 00000567
2022-04-02 17:28:08.414779 False [  158011.576089] 0003 0036 000003cb
2022-04-02 17:28:08.422579 False [  158011.584288] 0003 0035 00000569
2022-04-02 17:28:08.422579 False [  158011.584288] 0003 0036 000003c8
2022-04-02 17:28:08.432437 False [  158011.592643] 0003 0036 000003c7
2022-04-02 17:28:08.453690 False [  158011.610814] 0003 0035 00000567
2022-04-02 17:28:08.453690 False [  158011.610814] 0003 0036 000003c8
2022-04-02 17:28:08.457895 False [  158011.617506] 0003 0035 00000564
2022-04-02 17:28:08.457895 False [  158011.617506] 0003 0036 000003c9
2022-04-02 17:28:08.465175 False [  158011.626144] 0003 0035 0000055e
2022-04-02 17:28:08.465175 False [  158011.626144] 0003 0036 000003cd
2022-04-02 17:28:08.473530 False [  158011.634417] 0003 0035 00000554
2022-04-02 17:28:08.473530 False [  158011.634417] 0003 0036 000003d3
2022-04-02 17:28:08.478279 False [  158011.642766] 0003 0035 0000054a
2022-04-02 17:28:08.478279 False [  158011.642766] 0003 0036 000003da
2022-04-02 17:28:08.489569 False [  158011.650772] 0003 0035 00000540
2022-04-02 17:28:08.489569 False [  158011.650772] 0003 0036 000003e2
2022-04-02 17:28:08.498011 False [  158011.659247] 0003 0035 00000537
2022-04-02 17:28:08.498011 False [  158011.659247] 0003 0036 000003e9
2022-04-02 17:28:08.504839 False [  158011.667459] 0003 0035 0000052d
2022-04-02 17:28:08.504839 False [  158011.667459] 0003 0036 000003ef
2022-04-02 17:28:08.510939 False [  158011.675749] 0003 0035 00000526
2022-04-02 17:28:08.510939 False [  158011.675749] 0003 0036 000003f6
2022-04-02 17:28:08.520720 False [  158011.683983] 0003 0035 00000520
2022-04-02 17:28:08.520720 False [  158011.683983] 0003 0036 000003fc
2022-04-02 17:28:08.530797 False [  158011.692601] 0003 0035 0000051c
2022-04-02 17:28:08.530797 False [  158011.692601] 0003 0036 00000401
2022-04-02 17:28:08.535651 False [  158011.700642] 0003 0035 00000519
2022-04-02 17:28:08.535651 False [  158011.700642] 0003 0036 00000405
2022-04-02 17:28:08.545485 False [  158011.709347] 0003 0035 00000518
2022-04-02 17:28:08.545485 False [  158011.709347] 0003 0036 00000407
2022-04-02 17:28:08.552984 False [  158011.717325] 0003 0036 00000409
2022-04-02 17:28:08.565585 False [  158011.725738] 0003 0035 00000519
2022-04-02 17:28:08.573363 False [  158011.734082] 0003 0035 0000051b
2022-04-02 17:28:08.573363 False [  158011.734082] 0003 0036 00000408
2022-04-02 17:28:08.579210 False [  158011.742371] 0003 0035 00000522
2022-04-02 17:28:08.579210 False [  158011.742371] 0003 0036 00000404
2022-04-02 17:28:08.589098 False [  158011.750617] 0003 0035 0000052d
2022-04-02 17:28:08.589098 False [  158011.750617] 0003 0036 000003fe
2022-04-02 17:28:08.594458 False [  158011.758901] 0003 0035 0000053b
2022-04-02 17:28:08.594458 False [  158011.758901] 0003 0036 000003f4
2022-04-02 17:28:08.601459 False [  158011.767186] 0003 0035 00000549
2022-04-02 17:28:08.601459 False [  158011.767186] 0003 0036 000003eb
2022-04-02 17:28:08.612010 False [  158011.775664] 0003 0035 00000558
2022-04-02 17:28:08.612010 False [  158011.775664] 0003 0036 000003e2
2022-04-02 17:28:08.622561 False [  158011.783658] 0003 0035 00000565
2022-04-02 17:28:08.622561 False [  158011.783658] 0003 0036 000003d7
2022-04-02 17:28:08.629086 False [  158011.792139] 0003 0035 00000571
2022-04-02 17:28:08.629086 False [  158011.792139] 0003 0036 000003cc
2022-04-02 17:28:08.639674 False [  158011.800350] 0003 0035 0000057a
2022-04-02 17:28:08.639674 False [  158011.800350] 0003 0036 000003c4
