Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.901435743010982 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:55:00.044591 True [  156023.238896] 0003 0036 0000041a
2022-04-02 16:55:00.053280 True [  156023.247249] 0003 0035 00000509
2022-04-02 16:55:00.053280 True [  156023.247249] 0003 0036 0000041c
2022-04-02 16:55:00.061248 True [  156023.255441] 0003 0036 0000041d
2022-04-02 16:55:00.071217 True [  156023.265039] 0003 0036 0000041e
2022-04-02 16:55:00.086223 True [  156023.280624] 0003 0036 0000041f
2022-04-02 16:55:00.102264 True [  156023.297109] 0003 0036 00000420
2022-04-02 16:55:00.111338 True [  156023.305363] 0003 0035 0000050b
2022-04-02 16:55:00.111338 True [  156023.305363] 0003 0036 0000041f
2022-04-02 16:55:00.120275 True [  156023.313908] 0003 0035 0000050d
2022-04-02 16:55:00.127438 True [  156023.321990] 0003 0035 0000050e
2022-04-02 16:55:00.127438 True [  156023.321990] 0003 0036 0000041e
2022-04-02 16:55:00.135705 False [  156023.330435] 0003 0035 00000510
2022-04-02 16:55:00.135705 False [  156023.330435] 0003 0036 0000041b
2022-04-02 16:55:00.143539 False [  156023.338527] 0003 0035 00000511
2022-04-02 16:55:00.143539 False [  156023.338527] 0003 0036 00000419
2022-04-02 16:55:00.151810 False [  156023.346985] 0003 0035 00000513
2022-04-02 16:55:00.162972 False [  156023.355109] 0003 0036 00000418
2022-04-02 16:55:00.168469 False [  156023.363535] 0003 0035 00000514
2022-04-02 16:55:00.168469 False [  156023.363535] 0003 0036 00000419
2022-04-02 16:55:00.178226 False [  156023.371694] 0003 0035 00000518
2022-04-02 16:55:00.178226 False [  156023.371694] 0003 0036 000003ff
2022-04-02 16:55:00.184871 False [  156023.380339] 0003 0035 0000051b
2022-04-02 16:55:00.184871 False [  156023.380339] 0003 0036 00000407
2022-04-02 16:55:00.195270 False [  156023.388554] 0003 0036 00000402
2022-04-02 16:55:00.201485 False [  156023.396687] 0003 0035 0000051d
2022-04-02 16:55:00.201485 False [  156023.396687] 0003 0036 000003fc
2022-04-02 16:55:00.210346 False [  156023.404879] 0003 0035 0000051e
2022-04-02 16:55:00.210346 False [  156023.404879] 0003 0036 000003f8
2022-04-02 16:55:00.217846 False [  156023.413317] 0003 0035 0000051f
2022-04-02 16:55:00.217846 False [  156023.413317] 0003 0036 000003f4
2022-04-02 16:55:00.227007 False [  156023.421510] 0003 0035 0000051e
2022-04-02 16:55:00.235511 False [  156023.429879] 0003 0036 000003f2
2022-04-02 16:55:00.244148 False [  156023.438037] 0003 0036 000003ed
2022-04-02 16:55:00.251627 False [  156023.446517] 0003 0036 000003ea
2022-04-02 16:55:00.261554 False [  156023.454696] 0003 0035 0000051f
2022-04-02 16:55:00.261554 False [  156023.454696] 0003 0036 000003eb
2022-04-02 16:55:00.268856 False [  156023.463165] 0003 0035 00000521
2022-04-02 16:55:00.277699 False [  156023.471345] 0003 0035 00000522
2022-04-02 16:55:00.277699 False [  156023.471345] 0003 0036 000003e2
2022-04-02 16:55:00.284619 False [  156023.479792] 0003 0035 00000528
2022-04-02 16:55:00.284619 False [  156023.479792] 0003 0036 000003e0
2022-04-02 16:55:00.294085 False [  156023.487896] 0003 0035 00000529
2022-04-02 16:55:00.294085 False [  156023.487896] 0003 0036 000003da
2022-04-02 16:55:00.301419 False [  156023.496397] 0003 0036 000003d5
2022-04-02 16:55:00.310289 False [  156023.504526] 0003 0036 000003d1
2022-04-02 16:55:00.319587 False [  156023.513011] 0003 0035 00000524
2022-04-02 16:55:00.319587 False [  156023.513011] 0003 0036 000003d4
2022-04-02 16:55:00.326154 False [  156023.521177] 0003 0035 00000525
2022-04-02 16:55:00.326154 False [  156023.521177] 0003 0036 000003d2
2022-04-02 16:55:00.334117 False [  156023.529605] 0003 0035 00000529
